asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 03:04:31.572,MyCloud,preprocess,result,5,1,2600.57,2334.25,877.71,307.33,308.19,0.32,23.65,0
2022/06/08 03:04:32.203,MyCloud,preprocess,result,6,2,3382.22,1578.91,506.8,307.33,128.11,0.32,5.81,1
2022/06/08 03:04:33.056,MyCloud,preprocess,result,21,3,3325.77,1574.91,693.33,307.33,147.58,0.32,12.94,2
2022/06/08 03:04:33.866,MyCloud,preprocess,result,34,4,2987.52,1570.52,685.27,307.33,128.58,0.32,5.51,3
2022/06/08 03:04:34.759,MyCloud,preprocess,result,38,5,3657.34,1588.6,716.64,307.33,163.99,0.32,11.92,4
2022/06/08 03:04:35.590,MyCloud,preprocess,result,48,6,3042.19,1583.91,683.24,307.33,146.32,0.32,7.01,5
2022/06/08 03:04:36.417,MyCloud,preprocess,result,55,7,3153.68,1587.27,679.17,307.33,139.24,0.32,10.56,6
2022/06/08 03:04:37.256,MyCloud,preprocess,result,63,8,3147.18,1578.32,701.54,307.33,136.77,0.32,5.89,7
2022/06/08 03:04:38.094,MyCloud,preprocess,result,74,9,3149.12,1579.52,689.14,307.33,136.72,0.32,11.95,8
2022/06/08 03:04:38.915,MyCloud,preprocess,result,86,10,2945.46,1567.9,692.35,307.33,129.29,0.32,6.24,9
2022/06/08 03:04:39.747,MyCloud,preprocess,result,95,11,3144.17,1568.53,696.13,307.33,125.78,0.32,12.1,10
2022/06/08 03:04:40.591,MyCloud,preprocess,result,110,12,2938.71,1577.44,714.23,307.33,130.53,0.32,5.81,11
2022/06/08 03:04:41.419,MyCloud,preprocess,result,121,13,2961.65,1570.93,690.46,307.33,128.55,0.32,11.29,12
2022/06/08 03:04:42.277,MyCloud,preprocess,result,130,14,3054.72,1577.7,711.17,307.33,146.53,0.32,5.83,13
2022/06/08 03:04:43.095,MyCloud,preprocess,result,137,15,3146.85,1573.94,681.12,307.33,124.82,0.32,12.8,14
2022/06/08 03:04:43.950,MyCloud,preprocess,result,146,16,3012.41,1573.29,707.56,307.33,146.59,0.32,6.59,15
2022/06/08 03:04:44.777,MyCloud,preprocess,result,151,17,3024.66,1572.46,680.04,307.33,136.4,0.32,11.64,16
2022/06/08 03:04:45.598,MyCloud,preprocess,result,158,18,3232.39,1566.32,690.23,307.33,131.81,0.32,5.63,17
2022/06/08 03:04:46.441,MyCloud,preprocess,result,169,19,3171.69,1568.21,698.51,307.33,135.12,0.32,11.16,18
2022/06/08 03:04:47.299,MyCloud,preprocess,result,181,20,2992.18,1574.65,702.43,307.33,154.77,0.32,6.01,19
2022/06/08 03:04:48.114,MyCloud,preprocess,result,186,21,3477.13,1579.4,674.06,307.33,129.33,0.32,12.14,20
2022/06/08 03:04:48.943,MyCloud,preprocess,result,198,22,2927.88,1569.12,700.81,307.33,131.05,0.32,5.36,21
2022/06/08 03:04:49.795,MyCloud,preprocess,result,203,23,3089.87,1577.1,703.53,307.33,136.66,0.32,12.39,22
2022/06/08 03:04:50.613,MyCloud,preprocess,result,213,24,3014.48,1577.43,697.14,307.33,122.81,0.32,6.0,23
2022/06/08 03:04:51.444,MyCloud,preprocess,result,220,25,3122.3,1567.8,695.07,307.33,126.67,0.32,10.99,24
2022/06/08 03:04:52.298,MyCloud,preprocess,result,229,26,3081.56,1570.91,705.7,307.33,147.51,0.32,6.0,25
2022/06/08 03:04:53.123,MyCloud,preprocess,result,237,27,3056.62,1568.89,676.85,307.33,137.65,0.32,11.77,26
2022/06/08 03:04:53.942,MyCloud,preprocess,result,242,28,3412.93,1572.0,695.48,307.33,125.91,0.32,5.0,27
2022/06/08 03:04:54.788,MyCloud,preprocess,result,257,29,2885.93,1570.49,702.17,307.33,131.48,0.32,12.52,28
2022/06/08 03:04:55.626,MyCloud,preprocess,result,265,30,2931.3,1572.29,702.9,307.33,137.12,0.32,5.63,29
2022/06/08 03:04:56.491,MyCloud,preprocess,result,279,31,2950.53,1571.9,697.62,307.33,156.86,0.32,10.86,30
2022/06/08 03:04:57.289,MyCloud,preprocess,result,287,32,3087.96,1569.23,668.97,307.33,129.73,0.32,5.22,31
2022/06/08 03:04:58.124,MyCloud,preprocess,result,295,33,3181.87,1570.63,698.02,307.33,127.18,0.32,11.02,32
2022/06/08 03:04:58.950,MyCloud,preprocess,result,303,34,3251.96,1570.02,704.77,307.33,122.44,0.32,5.12,33
2022/06/08 03:04:59.805,MyCloud,preprocess,result,311,35,3245.58,1573.86,709.07,307.33,135.82,0.32,10.38,34
2022/06/08 03:05:00.644,MyCloud,preprocess,result,318,36,3376.23,1573.18,699.71,307.33,139.0,0.32,6.22,35
2022/06/08 03:05:01.468,MyCloud,preprocess,result,326,37,3265.39,1570.12,685.7,307.33,128.71,0.32,10.49,36
2022/06/08 03:05:02.301,MyCloud,preprocess,result,333,38,3213.42,1573.54,706.19,307.33,127.6,0.32,4.99,37
2022/06/08 03:05:03.135,MyCloud,preprocess,result,345,39,3047.68,1567.24,698.45,307.33,125.31,0.32,11.15,38
2022/06/08 03:05:03.973,MyCloud,preprocess,result,353,40,3072.04,1569.24,707.28,307.33,131.41,0.32,5.31,39
2022/06/08 03:05:04.803,MyCloud,preprocess,result,361,41,3128.18,1570.24,696.08,307.33,124.65,0.32,10.12,40
