asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 10:08:25.708,MyForwarder,result,result,2,90,1279.74,-220.19,140295.08,0.12,0.02,0.32,23.22,644
2022/06/08 10:08:26.381,MyForwarder,result,result,5,91,1808.07,-326.78,678.88,0.12,0.04,0.32,8.64,650
2022/06/08 10:08:27.358,MyForwarder,result,result,6,92,2713.47,-197.8,957.81,0.12,0.01,0.32,24.13,656
2022/06/08 10:08:28.065,MyForwarder,result,result,18,93,2759.37,-326.03,703.13,0.12,0.01,0.32,23.74,659
2022/06/08 10:08:29.014,MyForwarder,result,result,34,94,2676.87,-185.5,947.99,0.12,0.01,0.32,22.04,663
2022/06/08 10:08:29.696,MyForwarder,result,result,42,95,2852.93,-327.26,682.4,0.12,0.01,0.32,17.85,670
2022/06/08 10:08:30.674,MyForwarder,result,result,48,96,3215.26,-161.89,972.97,0.12,0.01,0.32,18.98,677
2022/06/08 10:08:31.439,MyForwarder,result,result,56,97,2831.91,-319.38,681.84,0.12,0.01,0.32,92.96,682
2022/06/08 10:08:32.338,MyForwarder,result,result,68,98,2942.45,-170.96,968.16,0.12,0.03,0.32,19.26,691
2022/06/08 10:08:33.010,MyForwarder,result,result,82,99,2652.07,-327.54,684.47,0.12,0.01,0.32,4.05,698
2022/06/08 10:08:33.988,MyForwarder,result,result,93,100,2845.94,-190.42,966.54,0.12,0.01,0.32,13.12,704
2022/06/08 10:08:34.670,MyForwarder,result,result,101,101,2879.7,-325.39,681.21,0.12,0.01,0.32,8.8,706
2022/06/08 10:08:35.639,MyForwarder,result,result,116,102,2898.7,-179.95,966.73,0.12,0.01,0.32,8.21,709
2022/06/08 10:08:36.384,MyForwarder,result,result,125,103,2818.98,-326.55,684.91,0.12,0.01,0.32,63.98,711
2022/06/08 10:08:37.299,MyForwarder,result,result,136,104,2921.58,-209.96,966.05,0.12,0.01,0.32,9.04,720
2022/06/08 10:08:38.005,MyForwarder,result,result,144,105,2722.56,-327.44,694.49,0.12,0.01,0.32,16.25,725
2022/06/08 10:08:38.965,MyForwarder,result,result,151,106,2908.51,-174.57,967.37,0.12,0.01,0.32,6.37,734
2022/06/08 10:08:39.646,MyForwarder,result,result,161,107,2768.53,-327.01,667.86,0.12,0.01,0.32,15.52,738
2022/06/08 10:08:40.642,MyForwarder,result,result,171,108,2980.16,-177.51,993.43,0.12,0.02,0.32,9.55,740
2022/06/08 10:08:41.320,MyForwarder,result,result,185,109,2787.05,-327.15,674.71,0.12,0.01,0.32,9.0,747
2022/06/08 10:08:42.305,MyForwarder,result,result,195,110,3004.23,-162.3,972.49,0.12,0.01,0.32,18.75,750
2022/06/08 10:08:42.998,MyForwarder,result,result,202,111,2922.66,-326.13,670.96,0.12,0.01,0.32,35.71,755
2022/06/08 10:08:43.972,MyForwarder,result,result,213,112,3038.13,-151.85,986.71,0.12,0.01,0.32,18.44,760
2022/06/08 10:08:44.655,MyForwarder,result,result,221,113,2770.57,-327.66,674.83,0.12,0.01,0.32,22.71,766
2022/06/08 10:08:45.622,MyForwarder,result,result,230,114,2999.9,-191.36,974.05,0.12,0.01,0.32,13.33,773
2022/06/08 10:08:46.282,MyForwarder,result,result,239,115,2909.33,-326.35,660.1,0.12,0.01,0.32,11.13,779
2022/06/08 10:08:47.278,MyForwarder,result,result,248,116,3015.39,-170.1,990.23,0.12,0.01,0.32,13.06,785
2022/06/08 10:08:47.950,MyForwarder,result,result,259,117,3005.15,-327.48,668.53,0.12,0.01,0.32,11.97,791
2022/06/08 10:08:48.938,MyForwarder,result,result,269,118,2954.46,-182.62,980.21,0.12,0.01,0.32,16.29,795
2022/06/08 10:08:49.625,MyForwarder,result,result,281,119,2866.2,-326.31,684.46,0.12,0.02,0.32,14.45,800
2022/06/08 10:08:50.588,MyForwarder,result,result,293,120,2902.79,-166.09,964.31,0.12,0.01,0.32,9.82,807
2022/06/08 10:08:51.260,MyForwarder,result,result,298,121,3007.35,-327.36,664.78,0.12,0.01,0.32,13.12,812
2022/06/08 10:08:52.248,MyForwarder,result,result,305,122,3100.79,-171.41,985.31,0.12,0.01,0.32,11.61,817
2022/06/08 10:08:52.963,MyForwarder,result,result,318,123,2774.36,-321.86,710.09,0.12,0.01,0.32,8.72,824
2022/06/08 10:08:53.911,MyForwarder,result,result,326,124,3104.44,-172.39,937.56,0.12,0.02,0.32,15.43,827
2022/06/08 10:08:54.622,MyForwarder,result,result,336,125,2795.08,-328.18,697.74,0.12,0.01,0.32,25.4,829
2022/06/08 10:08:55.557,MyForwarder,result,result,348,126,2978.75,-180.72,949.94,0.12,0.01,0.32,7.22,838
2022/06/08 10:08:56.242,MyForwarder,result,result,357,127,2893.62,-328.03,668.31,0.12,0.01,0.32,20.15,843
2022/06/08 10:08:57.227,MyForwarder,result,result,366,128,2913.06,-168.88,987.59,0.12,0.01,0.32,12.27,851
2022/06/08 10:08:57.916,MyForwarder,result,result,375,129,2789.23,-326.33,682.33,0.12,0.02,0.32,12.95,858
2022/06/08 10:08:58.890,MyForwarder,result,result,386,130,2961.83,-166.45,967.56,0.12,0.01,0.32,15.21,867
2022/06/08 10:08:59.579,MyForwarder,result,result,396,131,2882.78,-328.6,678.15,0.12,0.01,0.32,22.41,873
2022/06/08 10:09:00.597,MyForwarder,result,result,405,132,3114.36,-182.86,977.34,0.12,0.01,0.32,59.89,881
2022/06/08 10:09:01.231,MyForwarder,result,result,417,133,2893.48,-326.58,667.1,0.12,0.01,0.32,22.5,885
2022/06/08 10:09:02.215,MyForwarder,result,result,432,134,2918.6,-183.58,992.52,0.12,0.01,0.32,9.45,890
2022/06/08 10:09:02.920,MyForwarder,result,result,447,135,2668.26,-327.04,699.81,0.12,0.02,0.32,11.42,894
2022/06/08 10:09:03.874,MyForwarder,result,result,456,136,2916.7,-158.71,956.45,0.12,0.01,0.32,7.16,902
2022/06/08 10:09:04.556,MyForwarder,result,result,462,137,3034.18,-327.84,671.84,0.12,0.01,0.32,14.54,908
2022/06/08 10:09:05.541,MyForwarder,result,result,471,138,3128.13,-173.36,975.2,0.12,0.02,0.32,19.86,916
2022/06/08 10:09:06.201,MyForwarder,result,result,482,139,2868.74,-328.34,667.77,0.12,0.01,0.32,10.69,923
2022/06/08 10:09:07.197,MyForwarder,result,result,493,140,3033.21,-195.88,985.76,0.12,0.03,0.32,16.88,928
2022/06/08 10:09:07.865,MyForwarder,result,result,504,141,2911.89,-327.69,672.44,0.12,0.01,0.32,8.17,935
2022/06/08 10:09:08.853,MyForwarder,result,result,519,142,2974.92,-178.91,977.79,0.12,0.01,0.32,14.97,938
2022/06/08 10:09:09.523,MyForwarder,result,result,532,143,2865.07,-328.72,665.97,0.12,0.01,0.32,16.44,942
2022/06/08 10:09:10.459,MyForwarder,result,result,541,144,2919.72,-261.53,922.41,0.12,0.01,0.32,26.02,943
2022/06/08 10:09:11.374,MyForwarder,result,result,549,145,3205.86,-160.93,925.17,0.12,0.01,0.32,12.9,950
2022/06/08 10:09:12.057,MyForwarder,result,result,558,146,3109.73,-322.06,675.26,0.12,0.01,0.32,16.24,953
2022/06/08 10:09:13.015,MyForwarder,result,result,567,147,2899.04,-187.13,959.68,0.12,0.01,0.32,10.18,959
2022/06/08 10:09:13.712,MyForwarder,result,result,579,148,2657.61,-321.23,684.18,0.12,0.01,0.32,20.03,964
2022/06/08 10:09:14.674,MyForwarder,result,result,584,149,3105.35,-170.77,967.03,0.12,0.01,0.32,10.46,970
2022/06/08 10:09:15.358,MyForwarder,result,result,599,150,2538.57,-321.93,675.38,0.12,0.01,0.32,15.24,975
2022/06/08 10:09:16.327,MyForwarder,result,result,607,151,2807.84,-215.12,968.96,0.12,0.01,0.32,12.19,980
2022/06/08 10:09:17.022,MyForwarder,result,result,615,152,2598.49,-321.06,677.01,0.12,0.01,0.32,27.05,983
2022/06/08 10:09:17.985,MyForwarder,result,result,625,153,2743.08,-190.18,976.02,0.12,0.01,0.32,10.24,985
2022/06/08 10:09:18.674,MyForwarder,result,result,634,154,2559.28,-321.32,670.85,0.12,0.01,0.32,25.01,989
2022/06/08 10:09:19.651,MyForwarder,result,result,641,155,2945.74,-175.18,980.54,0.12,0.03,0.32,14.53,997
2022/06/08 10:09:20.329,MyForwarder,result,result,648,156,2830.67,-321.52,683.18,0.12,0.01,0.32,6.79,1001
2022/06/08 10:09:21.315,MyForwarder,result,result,655,157,3064.6,-180.12,968.21,0.12,0.03,0.32,19.2,1003
2022/06/08 10:09:21.994,MyForwarder,result,result,665,158,2872.33,-319.04,674.64,0.12,0.01,0.32,18.13,1010
