asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 10:08:24.379,MyInput,None,input,1,-1,-1,42.33,42.33,921.74,0.01,921.76,28.24,1070
2022/06/08 10:08:24.437,MyInput,None,input,2,-1,-1,41.43,41.43,921.74,0.01,921.76,37.31,1096
2022/06/08 10:08:24.488,MyInput,None,input,3,-1,-1,47.52,47.52,921.74,0.02,921.76,35.79,1071
2022/06/08 10:08:24.565,MyInput,None,input,4,-1,-1,49.25,49.25,921.74,0.01,921.76,58.57,1072
2022/06/08 10:08:24.634,MyInput,None,input,5,-1,-1,50.15,50.15,921.74,0.01,921.76,71.55,1097
2022/06/08 10:08:24.717,MyInput,None,input,7,-1,-1,48.47,48.47,921.74,0.01,921.76,42.45,1073
2022/06/08 10:08:24.742,MyInput,None,input,6,-1,-1,53.2,53.2,921.74,0.02,921.76,121.99,1098
2022/06/08 10:08:24.797,MyInput,None,input,8,-1,-1,48.6,48.6,921.74,0.01,921.76,68.07,1074
2022/06/08 10:08:24.861,MyInput,None,input,9,-1,-1,54.55,54.55,921.74,0.01,921.76,72.9,1075
2022/06/08 10:08:24.933,MyInput,None,input,10,-1,-1,55.0,55.0,921.74,0.02,921.76,81.7,1099
2022/06/08 10:08:25.051,MyInput,None,input,13,-1,-1,49.64,49.64,921.74,0.01,921.76,36.63,1076
2022/06/08 10:08:25.074,MyInput,None,input,11,-1,-1,48.7,48.7,921.74,0.02,921.76,164.36,1100
2022/06/08 10:08:25.121,MyInput,None,input,14,-1,-1,47.96,47.96,921.74,0.04,921.76,54.12,1077
2022/06/08 10:08:25.177,MyInput,None,input,12,-1,-1,42.65,42.65,921.74,0.01,921.76,217.41,1101
2022/06/08 10:08:25.243,MyInput,None,input,16,-1,-1,49.54,49.54,921.74,0.01,921.76,71.62,1078
2022/06/08 10:08:25.305,MyInput,None,input,15,-1,-1,47.47,47.47,921.74,0.01,921.76,187.09,1102
2022/06/08 10:08:25.371,MyInput,None,input,19,-1,-1,22.51,22.51,921.74,0.01,921.76,33.93,1079
2022/06/08 10:08:25.470,MyInput,None,input,17,-1,-1,51.88,51.88,921.74,0.02,921.76,241.5,1103
2022/06/08 10:08:25.583,MyInput,None,input,18,-1,-1,48.22,48.22,921.74,0.01,921.76,302.27,1104
2022/06/08 10:08:25.621,MyInput,None,input,22,-1,-1,0.02,0.02,921.74,0.01,921.76,31.35,1080
2022/06/08 10:08:25.736,MyInput,None,input,20,-1,-1,48.52,48.52,921.74,0.02,921.76,344.67,1105
2022/06/08 10:08:25.774,MyInput,None,input,24,-1,-1,0.01,0.01,921.74,0.01,921.76,27.96,1081
