asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 03:04:39.808,MyJetson,input,result,1,675,140.81,153.41,203909.3,921.73,10726.12,361.25,297.1,298
2022/06/08 03:04:39.960,MyJetson,input,result,128,740,662.67,662.82,0.07,921.73,104.38,361.18,203.95,299
2022/06/08 03:04:40.077,MyJetson,input,result,133,742,363.46,364.08,0.05,921.73,97.69,360.74,200.03,300
2022/06/08 03:04:40.998,MyJetson,input,result,141,743,123.49,123.82,697.8,921.73,207.97,361.13,187.85,301
2022/06/08 03:04:41.108,MyJetson,input,result,143,745,270.44,271.03,0.05,921.73,119.53,361.2,154.18,302
2022/06/08 03:04:42.513,MyJetson,input,result,153,746,223.72,223.88,1139.63,921.73,184.48,360.9,204.47,303
2022/06/08 03:04:42.648,MyJetson,input,result,155,747,265.61,266.58,0.05,921.73,86.11,360.85,229.44,304
2022/06/08 03:04:42.783,MyJetson,input,result,157,748,242.15,242.68,0.05,921.73,104.89,360.82,233.23,305
2022/06/08 03:04:42.903,MyJetson,input,result,160,750,214.63,215.17,0.05,921.73,105.28,360.89,225.22,306
2022/06/08 03:04:43.026,MyJetson,input,result,163,751,145.4,146.01,122.12,921.73,106.5,360.7,92.64,307
2022/06/08 03:04:43.199,MyJetson,input,result,164,752,268.23,269.24,0.06,921.73,103.05,361.31,138.1,308
2022/06/08 03:04:43.262,MyJetson,input,result,166,753,158.75,158.95,0.06,921.73,72.55,361.14,102.45,309
2022/06/08 03:04:43.394,MyJetson,input,result,168,754,71.78,72.78,18.42,921.73,94.3,360.98,98.09,310
2022/06/08 03:04:43.561,MyJetson,input,result,170,755,41.05,41.85,40.79,921.73,78.71,360.9,120.98,311
2022/06/08 03:04:43.783,MyJetson,input,result,172,756,97.57,98.26,133.5,921.73,95.88,360.94,86.45,312
2022/06/08 03:04:43.916,MyJetson,input,result,173,757,200.99,201.49,0.06,921.73,97.97,360.99,97.61,313
2022/06/08 03:04:44.055,MyJetson,input,result,174,758,274.44,251.89,0.05,921.73,98.16,361.14,113.27,314
2022/06/08 03:04:44.228,MyJetson,input,result,177,759,50.46,50.95,39.95,921.73,113.23,361.44,108.68,315
2022/06/08 03:04:44.385,MyJetson,input,result,178,760,147.86,148.96,0.05,921.73,118.26,361.2,123.25,316
2022/06/08 03:04:44.500,MyJetson,input,result,180,762,179.8,180.63,0.05,921.73,78.38,361.23,135.02,317
2022/06/08 03:04:44.610,MyJetson,input,result,183,763,117.75,118.3,35.29,921.73,96.25,361.07,88.11,318
2022/06/08 03:04:44.757,MyJetson,input,result,184,764,218.4,219.2,0.06,921.73,89.17,361.0,119.96,319
2022/06/08 03:04:45.075,MyJetson,input,result,187,765,101.55,101.91,131.37,921.73,86.0,360.78,194.92,320
2022/06/08 03:04:45.245,MyJetson,input,result,188,766,208.44,209.38,9.66,921.73,70.36,360.76,259.74,321
2022/06/08 03:04:45.525,MyJetson,input,result,191,767,91.36,92.03,214.61,921.73,84.23,361.05,215.72,322
2022/06/08 03:04:45.612,MyJetson,input,result,193,768,85.83,86.85,76.78,921.73,74.93,361.34,127.81,323
2022/06/08 03:04:45.692,MyJetson,input,result,194,769,152.5,153.35,0.05,921.73,91.07,361.15,91.65,324
2022/06/08 03:04:46.146,MyJetson,input,result,197,770,71.05,71.33,311.43,921.73,70.48,361.23,138.08,325
