asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 10:08:24.039,MyMerger,input,final_cam_1,1,1070,-370.32,-367.77,137317.19,921.74,0.01,921.76,51.76,1062
2022/06/08 10:08:24.119,MyMerger,input,final_cam_1,3,1071,-361.62,-361.23,99.52,921.74,0.01,921.76,25.72,1063
2022/06/08 10:08:24.201,MyMerger,input,final_cam_1,4,1072,-346.72,-346.62,63.54,921.74,0.01,921.76,39.1,1064
2022/06/08 10:08:24.287,MyMerger,input,final_cam_1,2,1096,-143.21,-142.43,89.11,921.74,0.01,921.76,28.63,1065
2022/06/08 10:08:24.340,MyMerger,input,final_cam_1,7,1073,-358.14,-357.75,54.29,921.74,0.01,921.76,23.28,1066
2022/06/08 10:08:24.434,MyMerger,input,final_cam_1,8,1074,-334.69,-333.91,75.0,921.74,0.01,921.76,36.88,1067
2022/06/08 10:08:24.490,MyMerger,input,final_cam_1,5,1097,-119.91,-119.75,41.74,921.74,0.01,921.76,45.25,1068
2022/06/08 10:08:24.526,MyMerger,input,final_cam_1,9,1075,-320.31,-320.07,19.62,921.74,0.01,921.76,56.31,1069
2022/06/08 10:08:24.680,MyMerger,input,final_cam_1,13,1076,-362.96,-362.2,178.1,921.74,0.01,921.76,27.35,1070
2022/06/08 10:08:24.742,MyMerger,input,final_cam_1,14,1077,-355.1,-354.5,56.2,921.74,0.01,921.76,28.43,1071
2022/06/08 10:08:24.780,MyMerger,input,final_cam_1,6,1098,102.55,102.25,6.6,921.74,0.01,921.76,55.64,1072
2022/06/08 10:08:24.807,MyMerger,result,final_cam_1,1,634,374.89,20.24,0.3,361.19,0.01,361.25,79.45,1073
2022/06/08 10:08:24.867,MyMerger,input,final_cam_1,16,1078,-327.29,-326.65,97.23,921.74,0.01,921.76,21.78,1074
2022/06/08 10:08:24.995,MyMerger,input,final_cam_1,19,1079,-364.48,-363.66,124.16,921.74,0.01,921.76,22.21,1075
2022/06/08 10:08:25.102,MyMerger,result,final_cam_1,4,635,585.37,252.43,115.1,361.27,0.01,361.33,10.2,1076
2022/06/08 10:08:25.110,MyMerger,result,final_cam_1,7,636,420.23,121.61,0.3,360.92,0.01,360.98,15.15,1077
2022/06/08 10:08:25.128,MyMerger,input,final_cam_1,10,1099,246.57,247.18,0.6,921.74,0.01,921.76,29.66,1078
2022/06/08 10:08:25.241,MyMerger,input,final_cam_1,22,1080,-364.24,-363.48,119.41,921.74,0.01,921.76,15.38,1079
2022/06/08 10:08:25.369,MyMerger,result,final_cam_1,9,637,562.48,242.7,122.14,360.87,0.01,360.92,17.18,1080
2022/06/08 10:08:25.379,MyMerger,result,final_cam_1,13,638,339.87,110.61,0.38,360.8,0.01,360.85,23.28,1081
2022/06/08 10:08:25.407,MyMerger,input,final_cam_1,11,1100,450.13,449.24,0.62,921.74,0.01,921.76,46.25,1082
2022/06/08 10:08:25.430,MyMerger,input,final_cam_1,24,1081,-371.44,-371.22,0.91,921.74,0.01,921.76,54.33,1083
2022/06/08 10:08:25.460,MyMerger,input,final_cam_1,25,1082,-335.06,-335.1,49.3,921.74,0.01,921.76,24.08,1084
2022/06/08 10:08:25.694,MyMerger,input,final_cam_1,28,1083,-373.22,-372.33,206.96,921.74,0.01,921.76,45.35,1085
2022/06/08 10:08:25.726,MyMerger,input,final_cam_1,12,1101,703.69,703.75,13.57,921.74,0.01,921.76,59.78,1086
2022/06/08 10:08:25.743,MyMerger,result,final_cam_1,14,639,601.41,300.03,0.4,360.96,0.01,361.02,73.27,1087
2022/06/08 10:08:25.757,MyMerger,result,final_cam_1,16,640,531.54,230.22,0.97,360.89,0.01,360.95,51.88,1088
2022/06/08 10:08:25.797,MyMerger,input,final_cam_1,29,1084,-272.85,-272.84,32.65,921.74,0.02,921.76,29.63,1089
2022/06/08 10:08:25.844,MyMerger,input,final_cam_1,30,1085,-281.42,-280.73,45.54,921.74,0.01,921.76,26.54,1090
2022/06/08 10:08:25.905,MyMerger,input,final_cam_1,31,1086,-269.65,-269.4,58.8,921.74,0.01,921.76,24.57,1091
2022/06/08 10:08:25.987,MyMerger,input,final_cam_1,32,1087,-254.14,-269.36,70.02,921.74,0.02,921.76,29.0,1092
2022/06/08 10:08:26.016,MyMerger,result,final_cam_1,19,641,665.45,414.25,38.53,361.06,0.01,361.12,13.28,1093
2022/06/08 10:08:26.029,MyMerger,result,final_cam_1,22,642,415.45,275.22,0.36,361.17,0.01,361.23,22.99,1094
2022/06/08 10:08:26.054,MyMerger,input,final_cam_1,15,1102,891.52,892.26,0.67,921.74,0.01,921.76,42.19,1095
2022/06/08 10:08:26.107,MyMerger,input,final_cam_1,33,1088,-189.09,-217.66,49.55,921.74,0.01,921.76,35.29,1096
2022/06/08 10:08:26.169,MyMerger,input,final_cam_1,35,1089,-231.95,-231.41,67.7,921.74,0.01,921.76,24.57,1097
2022/06/08 10:08:26.377,MyMerger,input,final_cam_1,39,1090,-326.37,-326.17,173.63,921.74,0.04,921.76,53.73,1098
2022/06/08 10:08:26.411,MyMerger,result,final_cam_1,24,643,635.35,468.65,54.68,361.18,0.02,361.24,27.41,1099
2022/06/08 10:08:26.425,MyMerger,result,final_cam_1,2,644,1987.95,703.74,0.1,0.12,0.01,0.32,36.08,1100
