asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/08 10:04:30.481,MyPreprocess,input,preprocess,2,689,266.31,271.61,34835.53,921.74,54.31,307.36,1672.37,0
2022/06/08 10:04:31.312,MyPreprocess,input,preprocess,5,690,260.01,260.66,70.83,921.74,4.8,307.36,2409.82,1
2022/06/08 10:04:32.154,MyPreprocess,input,preprocess,6,691,299.92,300.7,77.15,921.74,4.56,307.36,3158.15,2
2022/06/08 10:04:32.986,MyPreprocess,input,preprocess,21,699,928.31,773.56,0.05,921.74,4.93,307.36,2478.61,3
2022/06/08 10:04:33.838,MyPreprocess,input,preprocess,34,703,582.51,583.61,0.05,921.74,3.84,307.36,2493.78,4
2022/06/08 10:04:34.672,MyPreprocess,input,preprocess,38,706,1244.67,1155.0,0.04,921.74,4.25,307.36,2492.67,5
2022/06/08 10:04:35.526,MyPreprocess,input,preprocess,48,712,608.39,458.19,0.05,921.74,7.94,307.36,2510.06,6
2022/06/08 10:04:36.357,MyPreprocess,input,preprocess,55,717,753.66,625.47,0.08,921.74,8.44,307.36,2472.41,7
2022/06/08 10:04:37.202,MyPreprocess,input,preprocess,63,722,721.43,566.65,0.04,921.74,4.84,307.36,2505.37,8
2022/06/08 10:04:38.034,MyPreprocess,input,preprocess,74,727,746.81,637.31,0.05,921.74,4.8,307.36,2481.75,9
2022/06/08 10:04:38.868,MyPreprocess,input,preprocess,86,732,539.56,536.09,0.05,921.74,5.19,307.36,2485.44,10
2022/06/08 10:04:39.700,MyPreprocess,input,preprocess,95,737,753.2,575.67,0.04,921.74,4.89,307.36,2471.34,11
2022/06/08 10:04:40.538,MyPreprocess,input,preprocess,110,742,532.86,533.7,0.05,921.74,4.06,307.36,2478.95,12
2022/06/08 10:04:41.376,MyPreprocess,input,preprocess,121,747,566.01,480.41,0.05,921.74,4.29,307.36,2482.03,13
2022/06/08 10:04:42.214,MyPreprocess,input,preprocess,130,752,646.34,516.4,0.05,921.74,3.74,307.36,2489.73,14
2022/06/08 10:04:43.049,MyPreprocess,input,preprocess,137,757,743.71,574.87,0.05,921.74,4.29,307.36,2485.18,15
2022/06/08 10:04:43.886,MyPreprocess,input,preprocess,146,763,608.25,464.21,0.05,921.74,3.94,307.36,2485.24,16
2022/06/08 10:04:44.719,MyPreprocess,input,preprocess,151,768,626.6,461.48,0.05,921.74,3.79,307.36,2479.3,17
2022/06/08 10:04:45.554,MyPreprocess,input,preprocess,158,772,835.96,738.0,0.05,921.74,4.7,307.36,2481.36,18
2022/06/08 10:04:46.385,MyPreprocess,input,preprocess,169,777,779.3,605.93,0.05,921.74,3.88,307.36,2474.03,19
2022/06/08 10:04:47.228,MyPreprocess,input,preprocess,181,781,589.08,589.63,0.05,921.74,4.55,307.36,2483.66,20
2022/06/08 10:04:48.061,MyPreprocess,input,preprocess,186,784,1075.07,901.43,0.04,921.74,9.1,307.36,2477.07,21
2022/06/08 10:04:48.898,MyPreprocess,input,preprocess,198,790,521.54,428.88,0.05,921.74,4.5,307.36,2488.28,22
