asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 12:54:35.106,MyFrameProducer,None,input,1,-1,-1,42.26,54.53,921.74,0.01,921.76,42.12,12485
2022/06/14 12:54:35.154,MyFrameProducer,None,input,2,-1,-1,46.08,55.78,921.74,0.01,921.76,38.95,12854
2022/06/14 12:54:35.231,MyFrameProducer,None,input,3,-1,-1,48.17,52.8,921.74,0.01,921.76,63.25,12486
2022/06/14 12:54:35.266,MyFrameProducer,None,input,4,-1,-1,49.3,52.86,921.74,0.01,921.76,45.02,12487
2022/06/14 12:54:35.307,MyFrameProducer,None,input,5,-1,-1,49.24,52.85,921.74,0.02,921.76,32.29,12855
2022/06/14 12:54:35.364,MyFrameProducer,None,input,6,-1,-1,50.33,54.18,921.74,0.02,921.76,34.99,12856
2022/06/14 12:54:35.451,MyFrameProducer,None,input,7,-1,-1,49.7,53.45,921.74,0.02,921.76,68.33,12488
2022/06/14 12:54:35.554,MyFrameProducer,None,input,8,-1,-1,49.82,53.49,921.74,0.02,921.76,114.97,12489
2022/06/14 12:54:35.589,MyFrameProducer,None,input,10,-1,-1,49.17,54.92,921.74,0.02,921.76,40.99,12857
2022/06/14 12:54:35.658,MyFrameProducer,None,input,11,-1,-1,61.35,52.98,921.74,0.01,921.76,45.12,12858
2022/06/14 12:54:35.679,MyFrameProducer,None,input,9,-1,-1,46.99,52.22,921.74,0.03,921.76,185.58,12490
2022/06/14 12:54:35.711,MyFrameProducer,None,input,12,-1,-1,48.99,52.83,921.74,0.13,921.76,43.78,12859
2022/06/14 12:54:35.804,MyFrameProducer,None,input,13,-1,-1,47.56,52.79,921.74,0.02,921.76,85.78,12491
2022/06/14 12:54:35.858,MyFrameProducer,None,input,15,-1,-1,50.59,53.59,921.74,0.01,921.76,31.7,12860
2022/06/14 12:54:35.903,MyFrameProducer,None,input,14,-1,-1,49.89,52.56,921.74,0.01,921.76,131.04,12492
2022/06/14 12:54:35.977,MyFrameProducer,None,input,17,-1,-1,49.82,53.61,921.74,0.02,921.76,38.46,12861
2022/06/14 12:54:35.981,MyFrameProducer,None,input,16,-1,-1,49.22,52.92,921.74,0.01,921.76,98.93,12493
