asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 14:12:24.204,MyFrameProducer,None,input,1,-1,-1,568.32,592.91,921.74,0.01,921.76,65.82,17431
2022/06/14 14:12:24.221,MyFrameProducer,None,input,2,-1,-1,0.69,7.4,921.74,0.01,921.76,76.09,18035
2022/06/14 14:12:24.250,MyFrameProducer,None,input,3,-1,-1,50.94,50.8,921.74,0.01,921.76,52.13,17432
2022/06/14 14:12:24.284,MyFrameProducer,None,input,4,-1,-1,58.87,62.9,921.74,0.01,921.76,24.35,17433
2022/06/14 14:12:24.362,MyFrameProducer,None,input,5,-1,-1,77.38,79.64,921.74,0.01,921.76,21.99,18036
2022/06/14 14:12:24.454,MyFrameProducer,None,input,6,-1,-1,76.82,79.75,921.74,0.01,921.76,31.21,18037
2022/06/14 14:12:24.527,MyFrameProducer,None,input,7,-1,-1,75.83,79.71,921.74,0.01,921.76,24.97,17434
2022/06/14 14:12:24.613,MyFrameProducer,None,input,8,-1,-1,75.66,79.67,921.74,0.01,921.76,31.99,17435
2022/06/14 14:12:24.688,MyFrameProducer,None,input,9,-1,-1,76.52,79.84,921.74,0.01,921.76,27.8,17436
2022/06/14 14:12:24.767,MyFrameProducer,None,input,10,-1,-1,76.15,79.47,921.74,0.01,921.76,26.94,18038
2022/06/14 14:12:24.851,MyFrameProducer,None,input,11,-1,-1,76.9,80.36,921.74,0.01,921.76,27.1,18039
2022/06/14 14:12:24.929,MyFrameProducer,None,input,12,-1,-1,72.9,79.2,921.74,0.02,921.76,26.25,18040
2022/06/14 14:12:25.013,MyFrameProducer,None,input,13,-1,-1,74.28,79.56,921.74,0.01,921.76,32.46,17437
2022/06/14 14:12:25.096,MyFrameProducer,None,input,14,-1,-1,79.81,82.44,921.74,0.01,921.76,30.17,17438
2022/06/14 14:12:25.172,MyFrameProducer,None,input,15,-1,-1,71.2,76.59,921.74,0.02,921.76,29.86,18041
2022/06/14 14:12:25.251,MyFrameProducer,None,input,16,-1,-1,74.1,79.63,921.74,0.01,921.76,30.19,17439
2022/06/14 14:12:25.323,MyFrameProducer,None,input,17,-1,-1,76.51,79.5,921.74,0.01,921.76,22.82,18042
2022/06/14 14:12:25.423,MyFrameProducer,None,input,18,-1,-1,76.35,79.61,921.74,0.01,921.76,42.99,18043
2022/06/14 14:12:25.505,MyFrameProducer,None,input,19,-1,-1,80.23,83.68,921.74,0.01,921.76,40.14,17440
2022/06/14 14:12:25.571,MyFrameProducer,None,input,20,-1,-1,76.1,80.01,921.74,0.03,921.76,24.45,18044
2022/06/14 14:12:25.646,MyFrameProducer,None,input,21,-1,-1,74.42,79.3,921.74,0.01,921.76,21.88,18045
2022/06/14 14:12:25.733,MyFrameProducer,None,input,22,-1,-1,76.29,79.65,921.74,0.01,921.76,29.04,17441
2022/06/14 14:12:25.801,MyFrameProducer,None,input,23,-1,-1,77.38,79.71,921.74,0.01,921.76,16.57,18046
2022/06/14 14:12:25.891,MyFrameProducer,None,input,24,-1,-1,76.94,79.9,921.74,0.03,921.76,26.39,17442
2022/06/14 14:12:25.974,MyFrameProducer,None,input,25,-1,-1,76.48,79.56,921.74,0.01,921.76,29.57,17443
2022/06/14 14:12:26.047,MyFrameProducer,None,input,26,-1,-1,76.41,79.76,921.74,0.01,921.76,22.14,18047
2022/06/14 14:12:26.125,MyFrameProducer,None,input,27,-1,-1,76.12,79.58,921.74,0.2,921.76,20.25,18048
2022/06/14 14:12:26.216,MyFrameProducer,None,input,28,-1,-1,76.62,79.73,921.74,0.01,921.76,30.89,17444
2022/06/14 14:12:26.298,MyFrameProducer,None,input,29,-1,-1,76.6,79.91,921.74,0.02,921.76,31.46,17445
2022/06/14 14:12:26.371,MyFrameProducer,None,input,30,-1,-1,75.67,80.04,921.74,0.01,921.76,24.95,17446
2022/06/14 14:12:26.455,MyFrameProducer,None,input,31,-1,-1,74.77,78.59,921.74,0.01,921.76,29.82,17447
2022/06/14 14:12:26.531,MyFrameProducer,None,input,32,-1,-1,76.07,79.68,921.74,0.01,921.76,25.81,17448
2022/06/14 14:12:26.614,MyFrameProducer,None,input,33,-1,-1,75.84,79.69,921.74,0.01,921.76,28.82,17449
2022/06/14 14:12:26.702,MyFrameProducer,None,input,34,-1,-1,76.01,79.71,921.74,0.01,921.76,36.32,18049
2022/06/14 14:12:26.784,MyFrameProducer,None,input,35,-1,-1,75.73,79.7,921.74,0.01,921.76,37.82,17450
2022/06/14 14:12:26.851,MyFrameProducer,None,input,36,-1,-1,75.56,79.63,921.74,0.01,921.76,25.39,18050
2022/06/14 14:12:26.936,MyFrameProducer,None,input,37,-1,-1,79.52,83.6,921.74,0.01,921.76,26.46,18051
2022/06/14 14:12:27.007,MyFrameProducer,None,input,38,-1,-1,75.72,79.56,921.74,0.01,921.76,19.34,18052
2022/06/14 14:12:27.094,MyFrameProducer,None,input,39,-1,-1,76.95,79.72,921.74,0.01,921.76,26.4,17451
2022/06/14 14:12:27.170,MyFrameProducer,None,input,40,-1,-1,77.47,79.84,921.74,0.01,921.76,22.19,17452
2022/06/14 14:12:27.246,MyFrameProducer,None,input,41,-1,-1,76.28,79.58,921.74,0.01,921.76,18.49,18053
2022/06/14 14:12:27.330,MyFrameProducer,None,input,42,-1,-1,77.77,79.93,921.74,0.01,921.76,20.63,18054
2022/06/14 14:12:27.408,MyFrameProducer,None,input,43,-1,-1,75.5,79.36,921.74,0.01,921.76,18.87,18055
2022/06/14 14:12:27.499,MyFrameProducer,None,input,44,-1,-1,76.62,79.83,921.74,0.01,921.76,29.72,17453
2022/06/14 14:12:27.573,MyFrameProducer,None,input,45,-1,-1,76.13,79.57,921.74,0.01,921.76,23.14,18056
2022/06/14 14:12:27.654,MyFrameProducer,None,input,46,-1,-1,76.59,79.76,921.74,0.01,921.76,24.27,17454
2022/06/14 14:12:27.736,MyFrameProducer,None,input,47,-1,-1,76.0,79.83,921.74,0.01,921.76,25.29,18057
2022/06/14 14:12:27.815,MyFrameProducer,None,input,48,-1,-1,74.93,79.11,921.74,0.01,921.76,25.28,18058
2022/06/14 14:12:27.911,MyFrameProducer,None,input,49,-1,-1,75.94,79.78,921.74,0.03,921.76,41.56,18059
2022/06/14 14:12:27.996,MyFrameProducer,None,input,50,-1,-1,76.51,79.9,921.74,0.02,921.76,43.42,17455
2022/06/14 14:12:28.054,MyFrameProducer,None,input,51,-1,-1,70.48,79.34,921.74,0.01,921.76,24.47,18060
2022/06/14 14:12:28.135,MyFrameProducer,None,input,52,-1,-1,75.78,79.68,921.74,0.01,921.76,24.74,18061
2022/06/14 14:12:28.221,MyFrameProducer,None,input,53,-1,-1,75.47,79.53,921.74,0.01,921.76,32.77,17456
2022/06/14 14:12:28.302,MyFrameProducer,None,input,54,-1,-1,80.29,83.65,921.74,0.01,921.76,29.98,18062
2022/06/14 14:12:28.375,MyFrameProducer,None,input,55,-1,-1,76.66,79.75,921.74,0.01,921.76,20.84,18063
