asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 07:12:34.877,MyJetson,input,final_cam_1,2,18035,158.41,170.88,61745.53,921.73,10199.02,44.51,159.4,10125
2022/06/14 07:12:35.038,MyJetson,input,final_cam_1,130,18098,421.59,422.5,63.89,921.73,198.2,45.06,26.89,10126
2022/06/14 07:12:35.189,MyJetson,input,final_cam_1,137,18103,82.94,84.02,18.59,921.73,131.77,45.33,26.79,10127
2022/06/14 07:12:35.323,MyJetson,input,final_cam_1,139,18105,74.72,74.88,81.81,921.73,111.74,45.41,27.53,10128
2022/06/14 07:12:35.478,MyJetson,input,final_cam_1,140,18106,128.08,128.71,66.42,921.73,131.09,45.39,30.18,10129
2022/06/14 07:12:35.640,MyJetson,input,final_cam_1,141,17499,201.01,202.04,150.33,921.73,135.1,45.31,35.47,10130
2022/06/14 07:12:35.755,MyJetson,input,final_cam_1,143,17501,193.17,193.34,2.17,921.73,103.95,45.53,25.9,10131
2022/06/14 07:12:35.874,MyJetson,input,final_cam_1,146,18109,78.44,79.45,46.39,921.73,89.42,45.36,34.15,10132
2022/06/14 07:12:35.994,MyJetson,input,final_cam_1,147,18110,109.39,110.46,71.82,921.73,104.08,45.72,29.59,10133
2022/06/14 07:12:36.112,MyJetson,input,final_cam_1,149,18112,73.67,74.71,51.86,921.73,92.41,45.45,32.41,10134
2022/06/14 07:12:36.234,MyJetson,input,final_cam_1,150,18113,105.88,106.25,76.62,921.73,108.8,45.53,25.81,10135
2022/06/14 07:12:36.388,MyJetson,input,final_cam_1,152,18115,75.88,76.1,58.23,921.73,120.1,45.15,37.74,10136
2022/06/14 07:12:36.526,MyJetson,input,final_cam_1,153,17502,138.92,139.03,111.73,921.73,114.76,45.63,40.0,10137
2022/06/14 07:12:36.638,MyJetson,input,final_cam_1,155,17503,112.17,112.71,90.02,921.73,103.11,45.16,27.93,10138
2022/06/14 07:12:36.766,MyJetson,input,final_cam_1,156,18117,155.16,156.0,73.02,921.73,105.42,45.63,27.62,10139
2022/06/14 07:12:36.929,MyJetson,input,final_cam_1,158,18118,124.1,124.7,11.06,921.73,118.15,45.65,50.94,10140
2022/06/14 07:12:37.046,MyJetson,input,final_cam_1,159,17505,182.33,182.65,136.41,921.73,120.91,45.67,25.21,10141
2022/06/14 07:12:37.192,MyJetson,input,final_cam_1,162,18120,85.84,86.76,37.09,921.73,120.94,45.33,29.06,10142
2022/06/14 07:12:37.337,MyJetson,input,final_cam_1,163,17507,148.17,149.04,112.03,921.73,118.24,45.62,33.92,10143
2022/06/14 07:12:37.485,MyJetson,input,final_cam_1,165,18121,127.66,128.74,15.1,921.73,121.44,46.03,38.91,10144
2022/06/14 07:12:37.633,MyJetson,input,final_cam_1,167,18122,113.01,113.28,16.61,921.73,134.07,45.75,27.86,10145
2022/06/14 07:12:37.797,MyJetson,input,final_cam_1,169,18123,109.42,109.82,26.12,921.73,135.92,44.87,31.95,10146
2022/06/14 07:12:37.978,MyJetson,input,final_cam_1,171,18124,108.33,108.94,38.64,921.73,152.96,44.68,33.34,10147
2022/06/14 07:12:38.135,MyJetson,input,final_cam_1,173,17513,129.59,129.98,78.3,921.73,138.09,45.01,30.12,10148
2022/06/14 07:12:38.327,MyJetson,input,final_cam_1,175,18125,130.08,130.39,8.43,921.73,170.47,45.14,28.99,10149
2022/06/14 07:12:38.521,MyJetson,input,final_cam_1,177,17515,155.72,156.08,113.42,921.73,165.03,45.15,35.51,10150
2022/06/14 07:12:38.684,MyJetson,input,final_cam_1,180,17518,106.52,106.64,50.08,921.73,119.5,45.08,56.61,10151
2022/06/14 07:12:38.828,MyJetson,input,final_cam_1,182,18128,88.74,89.03,44.67,921.73,140.88,45.24,37.43,10152
2022/06/14 07:12:38.963,MyJetson,input,final_cam_1,183,17519,171.13,171.52,127.82,921.73,104.99,45.1,45.83,10153
2022/06/14 07:12:39.113,MyJetson,input,final_cam_1,185,18129,138.99,139.54,34.07,921.73,142.64,45.06,29.17,10154
2022/06/14 07:12:39.267,MyJetson,input,final_cam_1,187,17521,143.18,143.55,74.94,921.73,125.04,45.3,35.6,10155
2022/06/14 07:12:39.421,MyJetson,input,final_cam_1,189,18131,129.42,130.24,12.35,921.73,128.45,45.14,39.22,10156
2022/06/14 07:12:39.530,MyJetson,input,final_cam_1,191,17523,122.17,122.68,99.0,921.73,99.3,45.13,28.33,10157
2022/06/14 07:12:39.688,MyJetson,input,final_cam_1,192,18133,162.04,161.82,72.14,921.73,138.19,45.17,26.99,10158
2022/06/14 07:12:39.817,MyJetson,input,final_cam_1,195,18134,76.84,77.85,15.02,921.73,99.8,45.05,31.21,10159
2022/06/14 07:12:40.046,MyJetson,input,final_cam_1,196,18135,122.15,122.54,65.51,921.73,116.22,45.26,120.71,10160
2022/06/14 07:12:40.098,MyJetson,input,final_cam_1,198,18136,101.34,101.64,14.12,921.73,123.56,44.77,27.94,10161
2022/06/14 07:12:40.234,MyJetson,input,final_cam_1,200,18138,86.09,86.42,74.0,921.73,105.64,44.63,37.26,10162
2022/06/14 07:12:40.362,MyJetson,input,final_cam_1,201,18139,133.02,133.72,89.48,921.73,116.22,44.6,27.88,10163
2022/06/14 07:12:40.497,MyJetson,input,final_cam_1,203,18141,110.69,110.52,50.61,921.73,114.52,44.43,26.83,10164
2022/06/14 07:12:40.619,MyJetson,input,final_cam_1,205,18143,85.17,85.55,49.06,921.73,97.62,44.52,31.52,10165
2022/06/14 07:12:40.724,MyJetson,input,final_cam_1,206,17527,123.75,123.63,123.34,921.73,88.69,44.8,25.86,10166
2022/06/14 07:12:40.857,MyJetson,input,final_cam_1,207,18144,152.1,152.77,65.13,921.73,105.68,44.44,34.65,10167
2022/06/14 07:12:40.980,MyJetson,input,final_cam_1,208,17528,198.9,199.65,130.94,921.73,110.01,44.16,26.92,10168
2022/06/14 07:12:41.125,MyJetson,input,final_cam_1,210,17530,169.28,169.97,68.35,921.73,125.99,44.02,25.09,10169
2022/06/14 07:12:41.251,MyJetson,input,final_cam_1,213,18145,70.95,71.58,17.28,921.73,91.23,43.79,40.47,10170
2022/06/14 07:12:41.348,MyJetson,input,final_cam_1,214,18146,100.78,101.05,74.93,921.73,89.45,43.78,27.07,10171
2022/06/14 07:12:41.476,MyJetson,input,final_cam_1,215,18147,133.31,133.78,72.66,921.73,111.07,43.95,23.96,10172
2022/06/14 07:12:41.603,MyJetson,input,final_cam_1,217,18148,104.37,104.95,23.85,921.73,106.3,43.96,24.37,10173
2022/06/14 07:12:41.718,MyJetson,input,final_cam_1,219,18149,70.5,71.48,33.39,921.73,90.19,43.53,29.62,10174
2022/06/14 07:12:41.833,MyJetson,input,final_cam_1,220,18150,100.96,101.8,73.64,921.73,90.48,43.59,33.0,10175
