asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 05:54:36.141,MyCloud,preprocess,result,2,0,555.41,353.19,775215.36,307.33,414.17,0.32,21.5,0
2022/06/14 05:54:36.313,MyCloud,preprocess,result,5,1,854.56,751.26,217.66,307.33,169.08,0.32,10.94,1
2022/06/14 05:54:36.469,MyCloud,preprocess,result,6,2,974.02,661.11,253.71,307.33,148.14,0.32,16.35,2
2022/06/14 05:54:36.565,MyCloud,preprocess,result,10,3,908.16,574.41,227.59,307.33,103.44,0.32,4.53,3
2022/06/14 05:54:36.736,MyCloud,preprocess,result,12,4,930.61,476.09,231.2,307.33,131.73,0.32,4.87,4
2022/06/14 05:54:36.947,MyCloud,preprocess,result,18,5,855.51,483.0,246.09,307.33,96.73,0.32,4.39,5
2022/06/14 05:54:37.220,MyCloud,preprocess,result,23,6,846.51,504.67,258.98,307.33,109.57,0.32,4.21,6
2022/06/14 05:54:37.453,MyCloud,preprocess,result,27,7,865.2,502.95,237.35,307.33,96.93,0.32,11.61,7
2022/06/14 05:54:37.701,MyCloud,preprocess,result,34,8,715.41,473.06,238.27,307.33,113.3,0.32,4.32,8
2022/06/14 05:54:37.925,MyCloud,preprocess,result,36,9,839.18,471.68,235.79,307.33,100.51,0.32,4.8,9
2022/06/14 05:54:38.180,MyCloud,preprocess,result,41,10,818.11,480.88,245.45,307.33,108.72,0.32,5.15,10
2022/06/14 05:54:38.410,MyCloud,preprocess,result,45,11,849.87,484.23,241.47,307.33,96.46,0.32,5.23,11
2022/06/14 05:54:38.675,MyCloud,preprocess,result,49,12,882.9,492.09,246.86,307.33,107.62,0.32,11.08,12
2022/06/14 05:54:38.886,MyCloud,preprocess,result,54,13,844.78,472.11,226.24,307.33,97.56,0.32,4.61,13
2022/06/14 05:54:39.144,MyCloud,preprocess,result,58,14,870.13,472.44,237.59,307.33,117.37,0.32,5.0,14
2022/06/14 05:54:39.359,MyCloud,preprocess,result,63,15,837.6,473.27,236.9,307.33,94.93,0.32,4.54,15
2022/06/14 05:54:39.600,MyCloud,preprocess,result,68,16,807.87,472.62,236.53,307.33,98.68,0.32,4.51,16
2022/06/14 05:54:39.846,MyCloud,preprocess,result,72,17,832.17,480.44,243.91,307.33,98.2,0.32,5.39,17
2022/06/14 05:54:40.105,MyCloud,preprocess,result,76,18,843.8,482.41,239.13,307.33,111.57,0.32,11.42,18
