asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 07:51:10.096,MyCloud,input,final_cam_1,1,262,755.49,757.9,34525.96,921.74,262.42,42.55,89.56,263
2022/06/14 07:51:11.207,MyCloud,input,final_cam_1,2,276,2041.48,2042.02,0.86,921.74,109.97,42.64,5.84,264
2022/06/14 07:51:12.625,MyCloud,input,final_cam_1,5,277,2790.71,2791.08,0.94,921.74,130.94,44.02,11.97,265
2022/06/14 07:51:14.141,MyCloud,input,final_cam_1,7,265,2966.79,2967.61,0.86,921.74,107.81,44.06,10.0,266
2022/06/14 07:51:15.029,MyCloud,input,final_cam_1,8,266,3848.61,2501.35,886.39,921.74,114.34,44.08,5.02,267
2022/06/14 07:51:16.115,MyCloud,input,final_cam_1,9,267,3570.39,2137.82,0.92,921.74,117.72,45.02,10.23,268
2022/06/14 07:51:16.751,MyCloud,input,final_cam_1,11,280,2771.86,2098.01,647.99,921.74,110.88,45.72,5.5,269
2022/06/14 07:51:18.202,MyCloud,input,final_cam_1,13,268,2136.99,2137.46,0.93,921.74,135.93,45.42,10.66,270
2022/06/14 07:51:19.555,MyCloud,input,final_cam_1,14,269,3476.43,2828.92,1.0,921.74,118.19,45.59,10.17,271
2022/06/14 07:51:20.921,MyCloud,input,final_cam_1,16,270,4119.02,2809.1,0.89,921.74,118.49,45.53,10.47,272
2022/06/14 07:51:22.350,MyCloud,input,final_cam_1,18,284,4174.7,2866.23,0.99,921.74,126.71,45.08,10.55,273
2022/06/14 07:51:23.266,MyCloud,input,final_cam_1,20,285,3762.96,2419.39,949.04,921.74,97.89,45.23,5.89,274
2022/06/14 07:51:24.666,MyCloud,input,final_cam_1,22,272,2377.92,2378.3,0.91,921.74,115.39,44.87,11.43,275
2022/06/14 07:51:26.295,MyCloud,input,final_cam_1,23,287,3968.55,3071.73,0.81,921.74,108.96,44.77,9.33,276
2022/06/14 07:51:27.678,MyCloud,input,final_cam_1,25,274,4396.28,3073.44,0.81,921.74,106.15,45.13,9.33,277
2022/06/14 07:51:29.320,MyCloud,input,final_cam_1,27,289,4672.32,3097.53,0.81,921.74,103.36,45.39,9.7,278
2022/06/14 07:51:30.037,MyCloud,input,final_cam_1,29,276,3767.3,2415.01,694.85,921.74,125.13,45.74,6.35,279
2022/06/14 07:51:30.709,MyCloud,input,final_cam_1,30,277,3089.4,1430.86,677.23,921.74,112.79,45.81,12.27,280
2022/06/14 07:51:31.389,MyCloud,input,final_cam_1,31,278,2113.65,1435.7,688.7,921.74,110.32,45.85,5.46,281
2022/06/14 07:51:32.347,MyCloud,input,final_cam_1,32,279,2382.99,1699.7,949.42,921.74,110.66,45.7,11.06,282
2022/06/14 07:51:33.770,MyCloud,input,final_cam_1,33,280,3104.41,2423.21,0.98,921.74,123.27,45.96,11.71,283
2022/06/14 07:51:35.137,MyCloud,input,final_cam_1,36,291,2821.89,2822.27,0.94,921.74,129.67,46.06,11.36,284
2022/06/14 07:51:36.134,MyCloud,input,final_cam_1,37,292,3785.28,2470.79,1025.39,921.74,106.75,46.09,5.62,285
2022/06/14 07:51:37.531,MyCloud,input,final_cam_1,38,293,3859.85,2467.4,0.82,921.74,106.27,45.34,9.37,286
2022/06/14 07:51:39.156,MyCloud,input,final_cam_1,41,294,3062.13,3061.97,0.83,921.74,109.84,45.74,12.64,287
2022/06/14 07:51:39.820,MyCloud,input,final_cam_1,42,295,3697.94,2357.83,668.49,921.74,110.9,45.71,5.78,288
2022/06/14 07:51:41.785,MyCloud,input,final_cam_1,43,296,4300.12,2701.53,1.08,921.74,120.35,45.49,11.94,289
2022/06/14 07:51:42.763,MyCloud,input,final_cam_1,45,297,3680.32,3013.43,0.82,921.74,102.5,45.97,6.04,290
2022/06/14 07:51:43.497,MyCloud,input,final_cam_1,47,298,3665.56,2348.47,706.3,921.74,122.34,45.79,10.26,291
2022/06/14 07:51:44.171,MyCloud,input,final_cam_1,48,299,3033.59,1444.0,688.05,921.74,111.01,46.03,6.49,292
2022/06/14 07:51:45.863,MyCloud,input,final_cam_1,49,300,3126.47,2434.8,0.89,921.74,108.36,46.28,10.24,293
2022/06/14 07:51:46.561,MyCloud,input,final_cam_1,51,301,3115.53,2439.05,691.85,921.74,115.72,46.14,6.31,294
2022/06/14 07:51:47.951,MyCloud,input,final_cam_1,52,302,3831.22,2176.29,0.81,921.74,105.96,46.27,9.61,295
2022/06/14 07:51:48.648,MyCloud,input,final_cam_1,54,303,2815.16,2134.48,693.03,921.74,110.79,46.26,6.66,296
2022/06/14 07:51:49.625,MyCloud,input,final_cam_1,55,304,3090.74,1699.36,959.9,921.74,121.14,46.13,10.75,297
2022/06/14 07:51:51.019,MyCloud,input,final_cam_1,57,288,2403.76,2403.45,0.89,921.74,121.34,46.41,11.01,298
2022/06/14 07:51:52.398,MyCloud,input,final_cam_1,59,289,2826.98,2827.29,0.92,921.74,122.35,46.59,10.4,299
2022/06/14 07:51:54.060,MyCloud,input,final_cam_1,61,307,3096.8,3097.7,0.87,921.74,144.73,45.89,10.82,300
2022/06/14 07:51:55.068,MyCloud,input,final_cam_1,62,308,4082.71,2750.21,1028.16,921.74,126.32,45.99,6.4,301
2022/06/14 07:51:56.109,MyCloud,input,final_cam_1,64,291,2139.53,2139.75,1028.18,921.74,129.44,45.84,14.24,302
2022/06/14 07:51:56.234,MyCloud,input,final_cam_1,63,309,3911.66,2283.06,22.28,921.74,122.78,45.87,6.53,303
2022/06/14 07:51:56.807,MyCloud,input,final_cam_1,65,292,2872.07,2189.03,709.67,921.74,101.79,46.18,6.28,304
2022/06/14 07:51:58.432,MyCloud,input,final_cam_1,67,310,2296.23,2297.21,0.94,921.74,176.33,46.17,28.16,305
