asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/27 11:38:56.642,MyClient,final_cam_1,None,None,0,2.33,-1030.71,118597.4,45.54,0.01,45.54,0.25,None
2022/06/27 11:38:56.925,MyClient,final_cam_1,nan,nan,1,263.79,-1263.69,279.93,44.81,0.01,44.81,0.23,nan
2022/06/27 11:38:57.644,MyClient,final_cam_1,nan,nan,2,947.93,-1250.81,715.93,44.89,0.01,44.89,0.22,nan
2022/06/27 11:38:58.418,MyClient,final_cam_1,nan,nan,3,1047.81,-1187.66,770.04,132.44,0.01,132.44,0.61,nan
2022/06/27 11:38:59.154,MyClient,final_cam_1,nan,nan,4,1076.6,-1119.95,733.58,120.19,0.01,120.19,0.36,nan
2022/06/27 11:38:59.782,MyClient,final_cam_1,nan,nan,5,1015.1,-1199.87,624.16,117.8,0.01,117.8,0.48,nan
2022/06/27 11:39:00.514,MyClient,final_cam_1,nan,nan,6,1043.48,-1169.47,728.94,122.54,0.01,122.54,0.41,nan
2022/06/27 11:39:01.174,MyClient,final_cam_1,nan,nan,7,1005.88,-1196.13,657.44,135.04,0.01,135.04,0.46,nan
2022/06/27 11:39:01.904,MyClient,final_cam_1,nan,nan,8,1035.62,-1152.67,727.19,133.69,0.01,133.69,0.45,nan
2022/06/27 11:39:02.546,MyClient,final_cam_1,nan,nan,9,984.02,-1200.98,638.8,131.18,0.01,131.18,0.4,nan
2022/06/27 11:39:03.238,MyClient,final_cam_1,nan,nan,10,982.14,-1197.67,689.52,132.47,0.01,132.47,0.38,nan
2022/06/27 11:39:03.932,MyClient,final_cam_1,nan,nan,11,993.03,-1196.75,690.09,130.1,0.01,130.1,0.64,nan
2022/06/27 11:39:04.624,MyClient,final_cam_1,nan,nan,12,989.52,-1203.45,688.53,130.69,0.01,130.69,0.39,nan
2022/06/27 11:39:05.317,MyClient,final_cam_1,nan,nan,13,991.31,-1209.83,689.56,132.44,0.01,132.44,0.51,nan
2022/06/27 11:39:06.013,MyClient,final_cam_1,nan,nan,14,988.22,-1201.33,693.3,131.92,0.01,131.92,0.42,nan
2022/06/27 11:39:06.710,MyClient,final_cam_1,nan,nan,15,993.43,-1201.64,693.75,131.27,0.01,131.27,0.47,nan
2022/06/27 11:39:07.402,MyClient,final_cam_1,nan,nan,16,988.66,-1204.66,688.55,131.05,0.01,131.05,0.4,nan
2022/06/27 11:39:08.101,MyClient,final_cam_1,nan,nan,17,1002.04,-1206.38,695.87,132.16,0.01,132.16,0.42,nan
2022/06/27 11:39:08.776,MyClient,final_cam_1,nan,nan,18,977.34,-1220.99,671.04,132.62,0.01,132.62,0.68,nan
2022/06/27 11:39:09.514,MyClient,final_cam_1,nan,nan,19,1001.61,-1266.84,734.57,132.58,0.02,132.58,0.81,nan
2022/06/27 11:39:10.271,MyClient,final_cam_1,nan,nan,20,1065.3,-1257.97,752.57,131.94,0.01,131.94,0.78,nan
2022/06/27 11:39:11.013,MyClient,final_cam_1,nan,nan,21,1120.63,-1266.91,738.69,132.28,0.01,132.28,0.79,nan
2022/06/27 11:39:11.757,MyClient,final_cam_1,nan,nan,22,1094.54,-1266.81,740.82,132.49,0.01,132.49,0.72,nan
2022/06/27 11:39:12.507,MyClient,final_cam_1,nan,nan,23,1107.89,-1266.7,746.8,127.73,0.01,127.73,0.65,nan
2022/06/27 11:39:13.258,MyClient,final_cam_1,nan,nan,24,1105.58,-1265.59,746.84,134.63,0.01,134.63,1.08,nan
2022/06/27 11:39:13.989,MyClient,final_cam_1,nan,nan,25,1092.3,-1275.84,727.38,134.0,0.01,134.0,0.8,nan
2022/06/27 11:39:14.743,MyClient,final_cam_1,nan,nan,26,1104.09,-1266.82,750.77,135.47,0.01,135.47,0.94,nan
2022/06/27 11:39:15.508,MyClient,final_cam_1,nan,nan,27,1120.25,-1260.64,761.18,134.23,0.01,134.23,0.8,nan
2022/06/27 11:39:16.230,MyClient,final_cam_1,nan,nan,28,1090.05,-1267.05,718.91,135.6,0.01,135.6,0.8,nan
2022/06/27 11:39:16.991,MyClient,final_cam_1,nan,nan,29,1096.43,-1269.29,756.43,134.03,0.01,134.03,0.85,nan
2022/06/27 11:39:17.742,MyClient,final_cam_1,nan,nan,30,1104.49,-1264.44,747.9,134.64,0.01,134.64,0.87,nan
2022/06/27 11:39:18.484,MyClient,final_cam_1,nan,nan,31,1105.62,-1273.97,738.08,134.47,0.01,134.47,0.76,nan
2022/06/27 11:39:19.245,MyClient,final_cam_1,nan,nan,32,1110.69,-1266.12,757.92,134.44,0.01,134.44,0.76,nan
2022/06/27 11:39:19.987,MyClient,final_cam_1,nan,nan,33,1110.18,-1275.48,738.2,134.69,0.01,134.69,0.8,nan
2022/06/27 11:39:20.733,MyClient,final_cam_1,nan,nan,34,1097.4,-1266.13,743.07,134.09,0.01,134.09,0.71,nan
2022/06/27 11:39:21.489,MyClient,final_cam_1,nan,nan,35,1111.19,-1271.56,752.4,134.82,0.01,134.82,0.72,nan
2022/06/27 11:39:22.221,MyClient,final_cam_1,nan,nan,36,1097.32,-1268.01,729.27,134.41,0.01,134.41,0.7,nan
2022/06/27 11:39:22.971,MyClient,final_cam_1,nan,nan,37,1099.66,-1273.23,745.58,135.08,0.01,135.08,0.83,nan
2022/06/27 11:39:23.752,MyClient,final_cam_1,nan,nan,38,1123.16,-1264.35,778.08,134.73,0.01,134.73,0.7,nan
2022/06/27 11:39:24.480,MyClient,final_cam_1,nan,nan,39,1114.81,-1266.87,723.91,134.19,0.01,134.19,0.84,nan
2022/06/27 11:39:25.237,MyClient,final_cam_1,nan,nan,40,1111.52,-1262.36,752.2,133.34,0.01,133.34,0.97,nan
2022/06/27 11:39:25.992,MyClient,final_cam_1,nan,nan,41,1115.29,-1265.58,751.72,135.03,0.01,135.03,0.89,nan
