asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/27 12:16:57.272,MyForwarder,result,result,1,1001,720.04,112.65,47827.19,0.44,0.01,0.44,32.91,4483
2022/06/27 12:16:57.320,MyForwarder,result,result,3,1002,660.5,-0.7,66.91,0.44,0.01,0.44,4.93,4484
2022/06/27 12:16:57.553,MyForwarder,result,result,4,1003,838.18,-1.25,218.7,0.44,0.01,0.44,17.17,4485
2022/06/27 12:16:57.792,MyForwarder,result,result,7,1004,908.69,-0.1,223.52,0.44,0.01,0.44,30.36,4486
2022/06/27 12:16:58.049,MyForwarder,result,result,9,1005,1043.54,-1.46,271.33,0.44,0.01,0.44,13.7,4487
2022/06/27 12:16:58.273,MyForwarder,result,result,14,1006,950.36,-0.99,219.48,0.44,0.01,0.44,15.65,4488
2022/06/27 12:16:58.528,MyForwarder,result,result,16,1007,1093.01,4.12,231.6,0.44,0.01,0.44,37.16,4489
2022/06/27 12:16:58.751,MyForwarder,result,result,19,1008,1035.72,-1.16,242.64,0.44,0.01,0.44,14.53,4490
2022/06/27 12:16:59.989,MyForwarder,result,result,22,1009,501.02,2.16,1216.19,0.44,0.01,0.44,26.18,4491
2022/06/27 12:17:00.203,MyForwarder,result,result,24,1010,589.12,1.51,229.64,0.44,0.01,0.44,15.27,4492
2022/06/27 12:17:00.461,MyForwarder,result,result,25,1011,785.9,0.15,261.63,0.44,0.01,0.44,9.49,4493
2022/06/27 12:17:00.696,MyForwarder,result,result,28,1012,865.83,-0.35,228.37,0.44,0.01,0.44,14.27,4494
2022/06/27 12:17:00.924,MyForwarder,result,result,30,1013,934.27,-1.0,230.87,0.44,0.01,0.44,5.75,4495
2022/06/27 12:17:01.236,MyForwarder,result,result,33,1014,1038.22,3.16,240.22,0.44,0.01,0.44,72.3,4496
2022/06/27 12:17:01.415,MyForwarder,result,result,35,1015,1105.67,-1.45,238.58,0.44,0.01,0.44,14.23,4497
2022/06/27 12:17:01.660,MyForwarder,result,result,40,1016,1116.36,-0.93,248.78,0.44,0.01,0.44,9.37,4498
2022/06/27 12:17:01.909,MyForwarder,result,result,44,1017,1012.14,2.78,245.98,0.44,0.01,0.44,10.57,4499
2022/06/27 12:17:02.133,MyForwarder,result,result,46,1018,927.35,-1.79,226.55,0.44,0.01,0.44,5.67,4500
2022/06/27 12:17:02.451,MyForwarder,result,result,50,1019,451.39,3.64,303.45,0.44,0.01,0.44,16.53,4501
2022/06/27 12:17:02.896,MyForwarder,result,result,53,1020,482.15,-0.78,444.16,0.44,0.01,0.44,13.78,4502
2022/06/27 12:17:03.233,MyForwarder,result,result,57,1021,440.91,1.8,336.7,0.44,0.01,0.44,12.93,4503
2022/06/27 12:17:03.485,MyForwarder,result,result,59,1022,586.75,3.43,248.75,0.44,0.01,0.44,6.47,4504
2022/06/27 12:17:03.763,MyForwarder,result,result,60,1023,778.22,10.32,239.9,0.44,0.01,0.44,42.15,4505
2022/06/27 12:17:03.984,MyForwarder,result,result,64,1024,660.83,12.0,240.82,0.44,0.01,0.44,9.62,4506
2022/06/27 12:17:04.195,MyForwarder,result,result,65,1025,742.96,-1.25,201.3,0.44,0.01,0.44,16.4,4507
2022/06/27 12:17:04.461,MyForwarder,result,result,66,1026,984.97,0.46,248.11,0.44,0.01,0.44,26.6,4508
2022/06/27 12:17:04.663,MyForwarder,result,result,70,1027,866.23,-0.93,214.65,0.44,0.01,0.44,12.82,4509
2022/06/27 12:17:04.925,MyForwarder,result,result,73,1028,936.81,3.16,262.16,0.44,0.01,0.44,10.48,4510
2022/06/27 12:17:05.145,MyForwarder,result,result,75,1029,1041.76,-0.91,218.09,0.44,0.01,0.44,10.85,4511
2022/06/27 12:17:05.400,MyForwarder,result,result,77,1030,1153.67,-1.06,252.88,0.44,0.01,0.44,11.36,4512
2022/06/27 12:17:05.625,MyForwarder,result,result,78,1031,552.52,-0.84,220.4,0.44,0.01,0.44,13.4,4513
2022/06/27 12:17:05.868,MyForwarder,result,result,79,1032,756.71,-0.81,249.26,0.44,0.01,0.44,4.93,4514
2022/06/27 12:17:06.110,MyForwarder,result,result,80,1033,929.02,1.85,239.88,0.44,0.01,0.44,6.54,4515
2022/06/27 12:17:06.382,MyForwarder,result,result,81,1034,524.44,2.48,247.94,0.44,0.01,0.44,17.02,4516
2022/06/27 12:17:06.583,MyForwarder,result,result,84,1035,573.54,-1.95,224.03,0.44,0.01,0.44,3.03,4517
2022/06/27 12:17:06.831,MyForwarder,result,result,87,1036,633.53,-0.05,236.76,0.44,0.01,0.44,11.8,4518
2022/06/27 12:17:07.068,MyForwarder,result,result,88,1037,755.64,-0.59,235.87,0.44,0.01,0.44,10.05,4519
2022/06/27 12:17:07.312,MyForwarder,result,result,90,1038,790.91,-1.78,234.16,0.38,0.01,0.38,13.76,4520
2022/06/27 12:17:07.546,MyForwarder,result,result,92,1039,918.36,-1.49,237.56,0.38,0.01,0.38,8.43,4521
2022/06/27 12:17:07.795,MyForwarder,result,result,96,1040,931.56,4.25,245.55,0.44,0.01,0.44,9.35,4523
2022/06/27 12:17:08.029,MyForwarder,result,result,97,1041,1072.45,-1.78,231.27,0.44,0.01,0.44,10.74,4525
2022/06/27 12:17:08.308,MyForwarder,result,result,100,1042,1176.9,3.72,255.16,0.44,0.01,0.44,20.68,4527
2022/06/27 12:17:08.511,MyForwarder,result,result,104,1043,1113.59,-0.51,221.21,0.44,0.01,0.44,11.17,4530
2022/06/27 12:17:08.792,MyForwarder,result,result,108,1044,1069.22,21.16,250.06,0.44,0.03,0.44,14.12,4532
2022/06/27 12:17:09.013,MyForwarder,result,result,112,1045,939.41,5.66,219.09,0.38,0.01,0.38,18.77,4535
2022/06/27 12:17:09.256,MyForwarder,result,result,115,1046,999.6,1.92,235.49,0.44,0.01,0.44,16.83,4538
2022/06/27 12:17:09.511,MyForwarder,result,result,117,1047,1123.58,12.57,236.42,0.44,0.01,0.44,21.48,4541
2022/06/27 12:17:09.720,MyForwarder,result,result,120,1048,1152.48,-0.06,210.99,0.44,0.01,0.44,15.04,4543
2022/06/27 12:17:09.945,MyForwarder,result,result,126,1049,917.46,-0.68,234.99,0.44,0.01,0.44,3.19,4546
2022/06/27 12:17:10.195,MyForwarder,result,result,128,1050,991.97,-0.84,232.03,0.44,0.01,0.44,14.5,4548
2022/06/27 12:17:10.447,MyForwarder,result,result,132,1051,1042.15,2.18,258.12,0.44,0.01,0.44,11.23,4551
2022/06/27 12:17:10.682,MyForwarder,result,result,133,1052,1202.17,-0.9,218.12,0.44,0.01,0.44,14.96,4553
2022/06/27 12:17:10.981,MyForwarder,result,result,141,1053,502.24,0.63,307.91,0.44,0.01,0.44,10.99,4556
2022/06/27 12:17:11.198,MyForwarder,result,result,142,1054,661.58,1.16,219.74,0.44,0.01,0.44,7.85,4559
2022/06/27 12:17:11.437,MyForwarder,result,result,143,1055,807.19,-0.76,233.84,0.44,0.01,0.44,11.15,4561
2022/06/27 12:17:12.243,MyForwarder,result,result,153,1056,539.22,6.68,798.08,0.44,0.01,0.44,13.49,4567
2022/06/27 12:17:12.507,MyForwarder,result,result,155,1057,622.18,-0.58,256.45,0.44,0.01,0.44,6.42,4570
2022/06/27 12:17:12.763,MyForwarder,result,result,157,1058,711.62,-0.46,202.31,0.44,0.01,0.44,54.11,4572
2022/06/27 12:17:12.983,MyForwarder,result,result,159,1059,834.01,-1.25,257.19,0.44,0.01,0.44,13.68,4575
2022/06/27 12:17:13.199,MyForwarder,result,result,160,1060,1021.86,-0.81,211.6,0.44,0.01,0.44,12.51,4577
2022/06/27 12:17:13.460,MyForwarder,result,result,164,1061,1047.54,6.54,252.49,0.44,0.01,0.44,13.64,4580
2022/06/27 12:17:13.711,MyForwarder,result,result,168,1062,973.1,-1.29,246.4,0.44,0.01,0.44,15.44,4582
2022/06/27 12:17:13.982,MyForwarder,result,result,170,1063,1048.25,-0.15,213.87,0.44,0.01,0.44,71.21,4584
2022/06/27 12:17:14.210,MyForwarder,result,result,173,1064,1119.55,3.08,258.76,0.44,0.02,0.44,31.64,4587
2022/06/27 12:17:14.429,MyForwarder,result,result,178,1065,1105.61,-1.0,232.92,0.44,0.01,0.44,10.31,4589
2022/06/27 12:17:14.669,MyForwarder,result,result,179,1066,1258.64,5.13,231.37,0.44,0.01,0.44,16.32,4592
2022/06/27 12:17:14.930,MyForwarder,result,result,184,1067,1101.68,1.03,249.62,0.44,0.01,0.44,14.28,4594
2022/06/27 12:17:15.192,MyForwarder,result,result,187,1068,978.17,-0.87,233.01,0.44,0.01,0.44,51.2,4597
2022/06/27 12:17:15.403,MyForwarder,result,result,188,1069,1180.21,10.02,234.17,0.44,0.02,0.44,11.07,4600
2022/06/27 12:17:15.651,MyForwarder,result,result,191,1070,1085.05,4.53,242.61,0.44,0.01,0.44,14.1,4602
2022/06/27 12:17:15.890,MyForwarder,result,result,194,1071,1116.72,4.41,228.52,0.44,0.01,0.44,15.13,4605
2022/06/27 12:17:16.120,MyForwarder,result,result,197,1072,1140.98,3.76,236.88,0.44,0.01,0.44,11.37,4607
2022/06/27 12:17:16.901,MyForwarder,result,result,206,1073,567.62,34.44,743.57,0.44,0.01,0.44,16.36,4613
2022/06/27 12:17:17.097,MyForwarder,result,result,208,1074,637.74,2.19,202.88,0.44,0.01,0.44,7.68,4615
2022/06/27 12:17:17.349,MyForwarder,result,result,209,1075,824.27,5.02,231.47,0.44,0.01,0.44,15.05,4618
2022/06/27 12:17:17.575,MyForwarder,result,result,210,1076,1016.99,-0.17,225.95,0.44,0.01,0.44,10.61,4620
2022/06/27 12:17:17.807,MyForwarder,result,result,212,1077,1087.31,1.6,233.16,0.44,0.01,0.44,10.21,4623
2022/06/27 12:17:18.051,MyForwarder,result,result,218,1078,950.66,-0.38,234.49,0.44,0.01,0.44,16.72,4626
2022/06/27 12:17:18.645,MyForwarder,result,result,223,1079,518.99,4.04,586.62,0.44,0.01,0.44,18.11,4630
2022/06/27 12:17:18.862,MyForwarder,result,result,224,1080,640.78,-0.19,215.38,0.44,0.01,0.44,16.21,4633
2022/06/27 12:17:19.111,MyForwarder,result,result,225,1081,859.5,-1.63,247.63,0.44,0.01,0.44,10.12,4635
2022/06/27 12:17:19.341,MyForwarder,result,result,228,1082,754.62,0.55,224.89,0.44,0.01,0.44,12.8,4637
2022/06/27 12:17:19.694,MyForwarder,result,result,232,1083,518.91,3.82,336.74,0.44,0.01,0.44,24.56,4640
2022/06/27 12:17:19.909,MyForwarder,result,result,233,1084,728.33,3.33,218.59,0.44,0.01,0.44,8.53,4642
2022/06/27 12:17:20.168,MyForwarder,result,result,236,1085,571.23,-1.96,248.6,0.44,0.01,0.44,17.34,4645
2022/06/27 12:17:20.404,MyForwarder,result,result,238,1086,632.52,-1.12,231.99,0.44,0.01,0.44,11.06,4647
2022/06/27 12:17:20.652,MyForwarder,result,result,240,1087,657.52,-0.96,244.82,0.44,0.01,0.44,20.29,4650
2022/06/27 12:17:20.895,MyForwarder,result,result,243,1088,675.14,1.32,239.15,0.38,0.85,0.38,21.25,4653
2022/06/27 12:17:21.133,MyForwarder,result,result,245,1089,744.98,2.22,241.7,0.44,0.01,0.44,11.03,4655
2022/06/27 12:17:21.365,MyForwarder,result,result,246,1090,891.08,0.75,223.49,0.44,0.01,0.44,14.89,4658
2022/06/27 12:17:21.634,MyForwarder,result,result,249,1091,1001.2,0.34,261.4,0.44,0.01,0.44,15.04,4660
2022/06/27 12:17:21.847,MyForwarder,result,result,251,1092,1083.67,6.14,207.96,0.44,0.01,0.44,15.22,4663
2022/06/27 12:17:22.091,MyForwarder,result,result,255,1093,1074.38,-0.32,245.36,0.44,0.01,0.44,11.58,4666
2022/06/27 12:17:22.321,MyForwarder,result,result,256,1094,1228.97,-0.35,233.3,0.44,0.01,0.44,6.84,4668
2022/06/27 12:17:22.582,MyForwarder,result,result,261,1095,999.22,2.82,245.31,0.44,0.01,0.44,13.4,4671
2022/06/27 12:17:22.804,MyForwarder,result,result,264,1096,1008.21,1.92,225.81,0.44,0.01,0.44,10.8,4673
2022/06/27 12:17:23.061,MyForwarder,result,result,267,1097,1094.38,0.11,252.95,0.44,0.01,0.44,10.16,4676
2022/06/27 12:17:23.303,MyForwarder,result,result,271,1098,1098.96,-0.43,231.93,0.44,0.01,0.44,13.79,4678
2022/06/27 12:17:23.540,MyForwarder,result,result,276,1099,1027.74,-1.33,241.7,0.44,0.01,0.44,9.91,4681
2022/06/27 12:17:23.767,MyForwarder,result,result,277,1100,1188.55,-0.7,224.6,0.44,0.01,0.44,7.74,4683
2022/06/27 12:17:24.033,MyForwarder,result,result,282,1101,880.35,4.47,257.32,0.44,0.01,0.44,17.92,4684
2022/06/27 12:17:24.261,MyForwarder,result,result,283,1102,1043.69,1.27,218.59,0.44,0.01,0.44,23.05,4686
2022/06/27 12:17:24.509,MyForwarder,result,result,285,1103,1069.9,1.02,237.09,0.44,0.01,0.44,25.75,4688
2022/06/27 12:17:24.750,MyForwarder,result,result,289,1104,469.63,0.66,239.97,0.44,0.01,0.44,18.49,4691
2022/06/27 12:17:24.999,MyForwarder,result,result,290,1105,607.31,-0.9,251.04,0.44,0.01,0.44,18.28,4693
2022/06/27 12:17:25.239,MyForwarder,result,result,291,1106,791.86,3.46,237.97,0.44,0.01,0.44,18.8,4695
2022/06/27 12:17:25.464,MyForwarder,result,result,292,1107,963.36,-0.28,230.6,0.44,0.01,0.44,10.63,4698
2022/06/27 12:17:25.701,MyForwarder,result,result,296,1108,767.61,0.56,230.27,0.44,0.01,0.44,8.99,4701
2022/06/27 12:17:25.962,MyForwarder,result,result,299,1109,766.87,2.05,247.98,0.44,0.01,0.44,17.57,4703
2022/06/27 12:17:26.199,MyForwarder,result,result,301,1110,831.46,1.27,220.5,0.44,0.01,0.44,13.25,4705
2022/06/27 12:17:26.429,MyForwarder,result,result,302,1111,1009.3,0.88,233.46,0.44,0.01,0.44,20.32,4708
2022/06/27 12:17:26.683,MyForwarder,result,result,306,1112,895.49,4.0,254.9,0.44,0.01,0.44,21.73,4710
2022/06/27 12:17:26.932,MyForwarder,result,result,307,1113,912.52,-1.39,242.71,0.44,0.01,0.44,24.59,4713
2022/06/27 12:17:27.147,MyForwarder,result,result,310,1114,947.35,1.64,229.46,0.44,0.01,0.44,9.89,4715
2022/06/27 12:17:27.426,MyForwarder,result,result,312,1115,1146.61,1.48,257.78,0.44,0.01,0.44,21.42,4718
2022/06/27 12:17:27.644,MyForwarder,result,result,317,1116,982.85,-1.0,227.03,0.44,0.01,0.44,17.29,4721
2022/06/27 12:17:27.896,MyForwarder,result,result,320,1117,915.67,9.88,258.1,0.44,0.01,0.44,8.86,4723
2022/06/27 12:17:28.141,MyForwarder,result,result,322,1118,986.24,1.18,219.85,0.44,0.01,0.44,19.72,4725
2022/06/27 12:17:28.398,MyForwarder,result,result,325,1119,1074.16,3.1,261.09,0.44,0.01,0.44,18.01,4728
2022/06/27 12:17:28.607,MyForwarder,result,result,327,1120,1149.05,-1.11,208.1,0.44,0.01,0.44,22.37,4730
2022/06/27 12:17:28.849,MyForwarder,result,result,331,1121,959.41,1.2,235.46,0.44,0.01,0.44,22.68,4732
2022/06/27 12:17:29.238,MyForwarder,result,result,334,1122,1006.94,3.03,252.07,0.44,0.01,0.44,157.74,4735
2022/06/27 12:17:29.354,MyForwarder,result,result,338,1123,777.87,5.02,251.7,0.44,0.02,0.44,12.88,4737
2022/06/27 12:17:29.586,MyForwarder,result,result,339,1124,948.32,4.06,243.96,0.44,0.01,0.44,7.38,4739
2022/06/27 12:17:29.845,MyForwarder,result,result,340,1125,1154.94,3.89,240.25,0.44,0.02,0.44,11.97,4741
2022/06/27 12:17:30.061,MyForwarder,result,result,344,1126,1057.7,2.0,218.36,0.44,0.01,0.44,12.44,4744
2022/06/27 12:17:30.314,MyForwarder,result,result,346,1127,1189.1,-1.5,235.5,0.44,0.01,0.44,27.34,4746
2022/06/27 12:17:30.546,MyForwarder,result,result,349,1128,1086.13,2.89,251.57,0.44,0.01,0.44,6.81,4749
2022/06/27 12:17:30.804,MyForwarder,result,result,351,1129,1145.7,-1.17,248.68,0.44,0.01,0.44,13.27,4751
2022/06/27 12:17:31.025,MyForwarder,result,result,354,1130,1051.91,-1.83,211.78,0.44,0.01,0.44,19.31,4754
2022/06/27 12:17:31.258,MyForwarder,result,result,358,1131,1007.25,-0.03,237.78,0.44,0.01,0.44,12.57,4756
2022/06/27 12:17:31.500,MyForwarder,result,result,363,1132,578.0,1.55,232.11,0.44,0.01,0.44,16.53,4759
2022/06/27 12:17:31.781,MyForwarder,result,result,364,1133,759.66,7.96,263.26,0.44,0.01,0.44,25.71,4762
2022/06/27 12:17:31.997,MyForwarder,result,result,365,1134,902.86,2.4,194.41,0.44,0.01,0.44,30.81,4764
2022/06/27 12:17:32.230,MyForwarder,result,result,368,1135,985.7,-0.62,233.15,0.44,0.01,0.44,12.71,4767
2022/06/27 12:17:32.475,MyForwarder,result,result,371,1136,1041.31,-1.79,238.01,0.44,0.01,0.44,19.01,4769
2022/06/27 12:17:32.712,MyForwarder,result,result,374,1137,987.05,-1.24,238.58,0.44,0.01,0.44,14.19,4772
2022/06/27 12:17:32.961,MyForwarder,result,result,377,1138,1039.45,10.36,233.82,0.44,0.01,0.44,21.1,4775
2022/06/27 12:17:33.189,MyForwarder,result,result,382,1139,955.27,4.93,229.32,0.44,0.01,0.44,16.18,4777
2022/06/27 12:17:33.437,MyForwarder,result,result,385,1140,1049.93,2.85,243.6,0.44,0.01,0.44,16.19,4780
2022/06/27 12:17:33.679,MyForwarder,result,result,388,1141,1092.35,-0.68,240.99,0.44,0.01,0.44,15.75,4782
2022/06/27 12:17:33.894,MyForwarder,result,result,392,1142,970.13,-1.03,216.42,0.38,0.01,0.38,12.22,4785
2022/06/27 12:17:34.171,MyForwarder,result,result,395,1143,1014.12,2.32,239.22,0.38,0.01,0.38,47.13,4787
2022/06/27 12:17:34.381,MyForwarder,result,result,398,1144,1037.46,-0.48,233.22,0.38,0.01,0.38,20.88,4790
2022/06/27 12:17:34.644,MyForwarder,result,result,401,1145,1061.75,3.79,266.49,0.44,0.01,0.44,14.51,4793
2022/06/27 12:17:34.857,MyForwarder,result,result,406,1146,981.88,-1.07,215.72,0.44,0.01,0.44,8.91,4795
2022/06/27 12:17:35.110,MyForwarder,result,result,408,1147,1146.84,5.12,254.25,0.44,0.01,0.44,5.37,4798
2022/06/27 12:17:35.366,MyForwarder,result,result,414,1148,1002.42,0.49,229.32,0.44,0.01,0.44,22.39,4799
2022/06/27 12:17:35.583,MyForwarder,result,result,416,1149,973.65,-0.13,230.53,0.44,0.01,0.44,6.47,4801
2022/06/27 12:17:35.824,MyForwarder,result,result,419,1150,964.97,-1.68,240.37,0.44,0.01,0.44,6.0,4802
2022/06/27 12:17:36.069,MyForwarder,result,result,422,1151,918.61,2.84,241.67,0.44,0.01,0.44,6.65,4803
2022/06/27 12:17:36.298,MyForwarder,result,result,424,1152,1024.93,-1.37,232.0,0.44,0.01,0.44,2.9,4804
2022/06/27 12:17:37.940,MyForwarder,result,result,425,1153,489.64,5.04,1619.76,0.44,0.01,0.44,22.48,4805
2022/06/27 12:17:38.151,MyForwarder,result,result,426,1154,641.82,-0.4,213.55,0.44,0.01,0.44,17.55,4807
2022/06/27 12:17:38.408,MyForwarder,result,result,427,1155,833.75,-0.96,248.07,0.44,0.01,0.44,24.12,4810
2022/06/27 12:17:38.626,MyForwarder,result,result,430,1156,873.97,0.54,221.27,0.44,0.01,0.44,17.23,4812
2022/06/27 12:17:38.879,MyForwarder,result,result,433,1157,953.12,-1.58,246.72,0.44,0.01,0.44,20.06,4815
2022/06/27 12:17:39.116,MyForwarder,result,result,436,1158,1016.02,9.53,244.67,0.44,0.01,0.44,10.36,4818
2022/06/27 12:17:39.395,MyForwarder,result,result,440,1159,1015.56,8.3,259.22,0.44,0.01,0.44,27.84,4821
2022/06/27 12:17:39.613,MyForwarder,result,result,444,1160,1013.8,17.2,208.37,0.44,0.01,0.44,17.92,4823
2022/06/27 12:17:39.836,MyForwarder,result,result,445,1161,1185.05,-0.82,232.57,0.44,0.01,0.44,7.09,4826
2022/06/27 12:17:40.079,MyForwarder,result,result,451,1162,918.43,-0.46,225.64,0.44,0.01,0.44,14.97,4828
2022/06/27 12:17:40.309,MyForwarder,result,result,454,1163,992.18,0.09,232.61,0.44,0.01,0.44,13.42,4831
2022/06/27 12:17:40.560,MyForwarder,result,result,457,1164,1071.61,5.23,246.02,0.44,0.01,0.44,10.37,4834
2022/06/27 12:17:40.808,MyForwarder,result,result,461,1165,936.74,2.5,251.45,0.44,0.01,0.44,4.52,4837
