asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/27 12:19:07.098,MyFrameProducerSc2_4,None,input,1,-1,-1,35.42,87.83,921.74,0.01,921.76,232.38,7080
2022/06/27 12:19:07.230,MyFrameProducerSc2_4,None,input,3,-1,-1,12.54,21.8,921.74,0.01,921.76,324.05,7081
2022/06/27 12:19:07.335,MyFrameProducerSc2_4,None,input,2,-1,-1,6.44,21.31,921.74,0.01,921.76,452.2,13384
2022/06/27 12:19:07.370,MyFrameProducerSc2_4,None,input,4,-1,-1,10.04,38.96,921.74,0.01,921.76,437.21,7083
2022/06/27 12:19:07.511,MyFrameProducerSc2_4,None,input,5,-1,-1,0.01,33.19,921.74,0.01,921.76,364.18,13386
2022/06/27 12:19:07.536,MyFrameProducerSc2_4,None,input,7,-1,-1,0.01,17.39,921.74,0.01,921.76,147.53,7086
2022/06/27 12:19:07.678,MyFrameProducerSc2_4,None,input,8,-1,-1,37.81,54.16,921.74,0.01,921.76,225.3,7087
2022/06/27 12:19:07.705,MyFrameProducerSc2_4,None,input,6,-1,-1,11.16,47.1,921.74,0.01,921.76,542.79,13388
2022/06/27 12:19:07.763,MyFrameProducerSc2_4,None,input,9,-1,-1,38.18,77.98,921.74,0.01,921.76,261.28,7088
2022/06/27 12:19:07.844,MyFrameProducerSc2_4,None,input,10,-1,-1,0.01,14.67,921.74,0.02,921.76,270.59,13390
2022/06/27 12:19:07.930,MyFrameProducerSc2_4,None,input,13,-1,-1,0.01,29.93,921.74,0.01,921.76,70.13,7089
2022/06/27 12:19:07.967,MyFrameProducerSc2_4,None,input,11,-1,-1,13.68,36.05,921.74,0.01,921.76,375.16,13392
2022/06/27 12:19:08.026,MyFrameProducerSc2_4,None,input,14,-1,-1,7.16,53.24,921.74,0.01,921.76,157.46,7090
2022/06/27 12:19:08.088,MyFrameProducerSc2_4,None,input,16,-1,-1,0.02,46.99,921.74,0.01,921.76,106.71,7091
2022/06/27 12:19:08.110,MyFrameProducerSc2_4,None,input,12,-1,-1,0.01,6.6,921.74,0.01,921.76,392.79,13394
2022/06/27 12:19:08.230,MyFrameProducerSc2_4,None,input,15,-1,-1,29.9,26.5,921.74,0.01,921.76,324.42,13395
2022/06/27 12:19:08.320,MyFrameProducerSc2_4,None,input,19,-1,-1,0.01,40.84,921.74,0.01,921.76,80.03,7092
2022/06/27 12:19:08.374,MyFrameProducerSc2_4,None,input,17,-1,-1,8.06,19.31,921.74,0.01,921.76,380.81,13397
2022/06/27 12:19:08.522,MyFrameProducerSc2_4,None,input,18,-1,-1,0.02,9.0,921.74,0.01,921.76,388.25,13399
2022/06/27 12:19:08.652,MyFrameProducerSc2_4,None,input,22,-1,-1,0.01,46.77,921.74,0.01,921.76,85.71,7094
