asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/27 05:17:07.792,MyJetsonSc4,input,result,2,12607,254.41,265.25,26243.61,921.73,10145.14,134.81,606.0,4522
2022/06/27 05:17:08.019,MyJetsonSc4,input,result,89,12651,1371.21,1372.5,163.0,921.73,262.75,135.03,39.14,4524
2022/06/27 05:17:08.207,MyJetsonSc4,input,result,93,12653,1299.63,1300.43,119.66,921.73,133.78,134.46,68.66,4526
2022/06/27 05:17:08.344,MyJetsonSc4,input,result,94,12654,1405.06,1405.7,145.87,921.73,122.15,133.56,58.1,4528
2022/06/27 05:17:08.519,MyJetsonSc4,input,result,95,12655,1500.99,1501.45,152.36,921.73,161.75,132.67,43.27,4529
2022/06/27 05:17:08.678,MyJetsonSc4,input,result,98,12656,1431.46,1432.32,153.66,921.73,119.97,129.06,64.37,4531
2022/06/27 05:17:08.858,MyJetsonSc4,input,result,101,12657,1407.46,1407.95,168.25,921.73,144.28,132.94,79.05,4533
2022/06/27 05:17:08.968,MyJetsonSc4,input,result,103,12658,1426.05,1427.03,190.72,921.73,115.45,132.08,50.46,4534
2022/06/27 05:17:09.109,MyJetsonSc4,input,result,106,12659,1390.74,1391.49,175.69,921.73,109.65,135.26,61.04,4536
2022/06/27 05:17:09.226,MyJetsonSc4,input,result,110,12660,1105.1,1105.87,141.18,921.73,103.93,135.85,51.05,4537
2022/06/27 05:17:09.364,MyJetsonSc4,input,result,111,12661,1183.71,1184.25,159.2,921.73,98.08,136.87,59.2,4539
2022/06/27 05:17:09.532,MyJetsonSc4,input,result,113,12662,1256.08,1256.21,164.84,921.73,88.67,136.62,50.08,4540
2022/06/27 05:17:09.679,MyJetsonSc4,input,result,116,12663,1209.36,1209.72,146.47,921.73,111.68,135.88,41.3,4542
2022/06/27 05:17:09.817,MyJetsonSc4,input,result,118,12664,1226.78,1226.86,147.19,921.73,105.05,135.53,35.04,4544
2022/06/27 05:17:09.953,MyJetsonSc4,input,result,121,12665,1184.87,1185.67,133.83,921.73,105.57,135.16,32.22,4545
2022/06/27 05:17:10.104,MyJetsonSc4,input,result,122,12666,1267.74,1268.09,168.59,921.73,84.89,136.74,31.63,4547
2022/06/27 05:17:10.274,MyJetsonSc4,input,result,124,12667,1286.21,1286.6,147.38,921.73,95.4,135.78,39.93,4549
2022/06/27 05:17:10.416,MyJetsonSc4,input,result,125,12668,1387.43,1324.16,129.88,921.73,104.18,134.97,39.97,4550
2022/06/27 05:17:10.588,MyJetsonSc4,input,result,129,12669,1229.11,1229.99,171.77,921.73,99.51,136.62,37.48,4552
2022/06/27 05:17:10.736,MyJetsonSc4,input,result,130,12670,1275.81,1276.35,131.31,921.73,101.31,136.72,51.44,4554
2022/06/27 05:17:10.942,MyJetsonSc4,input,result,131,12671,1394.3,1329.83,146.6,921.73,115.46,136.34,91.98,4555
2022/06/27 05:17:11.018,MyJetsonSc4,input,result,134,12672,1278.14,1244.39,94.41,921.73,110.21,137.11,37.76,4557
2022/06/27 05:17:11.191,MyJetsonSc4,input,result,135,12673,1412.05,1329.3,215.5,921.73,100.18,134.99,38.75,4558
2022/06/27 05:17:11.349,MyJetsonSc4,input,result,136,12674,1484.76,1383.51,145.51,921.73,86.35,136.53,45.96,4560
2022/06/27 05:17:11.534,MyJetsonSc4,input,result,137,12675,1497.06,1383.92,177.89,921.73,100.79,136.48,48.33,4562
2022/06/27 05:17:11.667,MyJetsonSc4,input,result,138,12676,1521.78,1349.24,143.57,921.73,99.48,134.73,36.94,4563
2022/06/27 05:17:11.828,MyJetsonSc4,input,result,139,12677,1500.37,1432.54,166.48,921.73,87.68,136.11,39.16,4564
2022/06/27 05:17:11.989,MyJetsonSc4,input,result,140,12678,1429.76,1430.7,168.13,921.73,91.84,137.07,23.95,4565
2022/06/27 05:17:12.170,MyJetsonSc4,input,result,144,12679,1337.81,1338.17,145.51,921.73,92.07,137.63,54.64,4566
2022/06/27 05:17:12.304,MyJetsonSc4,input,result,145,12680,1446.29,1447.11,141.81,921.73,105.6,136.67,29.12,4568
2022/06/27 05:17:12.491,MyJetsonSc4,input,result,146,12681,1303.34,1303.85,164.71,921.73,101.52,136.94,50.09,4569
2022/06/27 05:17:12.641,MyJetsonSc4,input,result,147,12682,1409.47,1410.51,145.86,921.73,103.8,136.75,50.33,4571
2022/06/27 05:17:12.829,MyJetsonSc4,input,result,148,12683,1537.4,1472.45,184.04,921.73,93.74,136.72,60.1,4573
2022/06/27 05:17:12.984,MyJetsonSc4,input,result,149,12684,1635.13,1528.66,160.56,921.73,89.53,136.16,41.11,4574
2022/06/27 05:17:13.142,MyJetsonSc4,input,result,150,12685,1685.71,1613.79,174.88,921.73,90.9,136.66,32.56,4576
2022/06/27 05:17:13.322,MyJetsonSc4,input,result,151,12686,1755.56,1632.68,153.9,921.73,92.83,136.98,52.23,4578
2022/06/27 05:17:13.474,MyJetsonSc4,input,result,152,12687,1760.3,1623.52,139.98,921.73,109.1,137.44,42.3,4579
2022/06/27 05:17:13.657,MyJetsonSc4,input,result,154,12688,1787.16,1640.33,184.28,921.73,87.98,136.77,58.42,4581
2022/06/27 05:17:13.835,MyJetsonSc4,input,result,156,12689,1753.99,1657.42,141.18,921.73,117.56,135.77,62.83,4583
2022/06/27 05:17:14.031,MyJetsonSc4,input,result,158,12690,1742.26,1691.84,146.44,921.73,152.43,137.34,45.28,4585
2022/06/27 05:17:14.193,MyJetsonSc4,input,result,161,12691,1761.76,1730.8,182.52,921.73,121.44,137.22,51.75,4586
2022/06/27 05:17:14.324,MyJetsonSc4,input,result,162,12692,1878.98,1791.46,167.76,921.73,102.39,137.25,30.98,4588
2022/06/27 05:17:14.522,MyJetsonSc4,input,result,165,12693,1869.33,1825.72,181.32,921.73,90.77,136.25,54.27,4590
2022/06/27 05:17:14.669,MyJetsonSc4,input,result,167,12694,1931.15,1796.64,137.74,921.73,105.15,137.98,44.75,4591
2022/06/27 05:17:14.820,MyJetsonSc4,input,result,169,12695,1852.12,1797.74,143.37,921.73,103.88,136.18,50.47,4593
2022/06/27 05:17:14.960,MyJetsonSc4,input,result,171,12696,1875.32,1790.48,142.83,921.73,115.15,136.35,31.92,4595
2022/06/27 05:17:15.108,MyJetsonSc4,input,result,175,12697,1741.51,1741.91,141.45,921.73,101.73,136.72,47.86,4596
2022/06/27 05:17:15.237,MyJetsonSc4,input,result,176,12698,1839.14,1796.46,130.7,921.73,103.42,137.11,41.59,4598
2022/06/27 05:17:15.385,MyJetsonSc4,input,result,181,12699,1580.17,1580.26,139.88,921.73,102.95,136.54,45.53,4599
2022/06/27 05:17:15.559,MyJetsonSc4,input,result,182,12700,1723.37,1656.21,176.57,921.73,88.22,137.17,53.23,4601
2022/06/27 05:17:15.697,MyJetsonSc4,input,result,185,12701,1692.82,1638.48,136.59,921.73,102.52,136.8,37.26,4603
