asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/14 05:54:35.257,MyMerger,input,final_cam_1,2,12854,80.76,82.64,728117.77,921.74,0.02,921.76,48.49,4350
2022/06/14 05:54:35.283,MyMerger,input,final_cam_1,1,12485,175.96,176.04,28.76,921.74,0.02,921.76,37.85,4351
2022/06/14 05:54:35.391,MyMerger,input,final_cam_1,5,12855,60.36,61.04,86.54,921.74,0.01,921.76,51.89,4352
2022/06/14 05:54:35.440,MyMerger,input,final_cam_1,3,12486,193.75,194.23,18.24,921.74,0.01,921.76,77.25,4353
2022/06/14 05:54:35.465,MyMerger,input,final_cam_1,6,12856,98.59,98.67,61.61,921.74,0.01,921.76,35.3,4354
2022/06/14 05:54:35.532,MyMerger,input,final_cam_1,4,12487,288.26,288.3,75.1,921.74,0.01,921.76,21.28,4355
2022/06/14 05:54:35.668,MyMerger,input,final_cam_1,10,12857,71.03,71.27,104.51,921.74,0.02,921.76,48.13,4356
2022/06/14 05:54:35.702,MyMerger,input,final_cam_1,7,12488,269.21,270.07,28.51,921.74,0.02,921.76,47.8,4357
2022/06/14 05:54:35.739,MyMerger,input,final_cam_1,11,12858,94.09,94.02,45.26,921.74,0.01,921.76,30.72,4358
2022/06/14 05:54:35.774,MyMerger,input,final_cam_1,12,12859,83.41,83.88,40.3,921.74,0.01,921.76,21.21,4359
2022/06/14 05:54:35.883,MyMerger,input,final_cam_1,8,12489,366.21,366.65,50.49,921.74,0.01,921.76,69.86,4360
2022/06/14 05:54:35.919,MyMerger,input,final_cam_1,15,12860,69.93,70.58,83.04,921.74,0.01,921.76,21.97,4361
2022/06/14 05:54:35.957,MyMerger,input,final_cam_1,9,12490,439.04,439.25,29.01,921.74,0.01,921.76,26.87,4362
2022/06/14 05:54:36.037,MyMerger,input,final_cam_1,17,12861,50.77,51.45,56.24,921.74,0.02,921.76,41.13,4363
2022/06/14 05:54:36.099,MyMerger,input,final_cam_1,18,12862,74.04,74.51,66.09,921.74,0.01,921.76,34.23,4364
2022/06/14 05:54:36.148,MyMerger,input,final_cam_1,13,12491,362.79,363.67,14.85,921.74,0.01,921.76,64.61,4365
2022/06/14 05:54:36.210,MyMerger,input,final_cam_1,20,12863,64.26,65.92,74.41,921.74,0.01,921.76,44.77,4366
2022/06/14 05:54:36.287,MyMerger,input,final_cam_1,21,12864,83.13,83.24,65.37,921.74,0.02,921.76,50.19,4367
2022/06/14 05:54:36.340,MyMerger,input,final_cam_1,14,12492,478.29,478.98,9.81,921.74,0.01,921.76,88.2,4368
2022/06/14 05:54:36.383,MyMerger,input,final_cam_1,23,12865,59.91,60.1,64.18,921.74,0.01,921.76,63.6,4369
2022/06/14 05:54:36.396,MyMerger,result,final_cam_1,2,968,1238.56,91.25,30.65,0.13,0.01,0.32,38.96,4370
2022/06/14 05:54:36.403,MyMerger,result,final_cam_1,5,969,1123.66,20.28,22.44,0.13,0.01,0.32,3.96,4371
2022/06/14 05:54:36.445,MyMerger,input,final_cam_1,16,12493,523.88,524.33,5.35,921.74,0.01,921.76,36.23,4372
2022/06/14 05:54:36.546,MyMerger,input,final_cam_1,26,12866,81.05,81.53,93.52,921.74,0.01,921.76,38.2,4373
2022/06/14 05:54:36.585,MyMerger,input,final_cam_1,19,12494,489.18,489.66,20.66,921.74,0.02,921.76,49.52,4374
2022/06/14 05:54:36.611,MyMerger,input,final_cam_1,27,12867,93.87,94.61,19.76,921.74,0.01,921.76,38.34,4375
2022/06/14 05:54:36.623,MyMerger,result,final_cam_1,6,970,1246.59,99.64,0.14,0.13,0.01,0.32,46.96,4376
2022/06/14 05:54:36.626,MyMerger,result,final_cam_1,10,971,1066.98,50.2,14.2,0.13,0.01,0.32,10.44,4377
2022/06/14 05:54:36.718,MyMerger,input,final_cam_1,22,12495,483.2,483.77,70.97,921.74,0.01,921.76,28.01,4378
2022/06/14 05:54:36.768,MyMerger,result,final_cam_1,12,972,1073.83,8.32,46.96,0.13,0.01,0.32,15.42,4379
