asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2022/06/27 12:16:56.929,MyPreprocess,input,preprocess,1,6322,133.9,137.86,44007.32,921.74,6.57,307.36,262.04,2606
2022/06/27 12:16:57.167,MyPreprocess,input,preprocess,3,6323,72.34,73.29,76.13,921.74,4.25,307.36,429.23,2607
2022/06/27 12:16:57.406,MyPreprocess,input,preprocess,4,6324,75.7,76.42,43.17,921.74,4.12,307.36,622.36,2608
2022/06/27 12:16:57.644,MyPreprocess,input,preprocess,7,6325,88.34,88.74,144.99,921.74,6.97,307.36,688.8,2609
2022/06/27 12:16:57.882,MyPreprocess,input,preprocess,9,6327,189.39,189.6,77.26,921.74,5.27,307.36,688.42,2610
2022/06/27 12:16:58.121,MyPreprocess,input,preprocess,14,6329,113.73,114.5,54.34,921.74,3.8,307.36,689.85,2611
2022/06/27 12:16:58.364,MyPreprocess,input,preprocess,16,6330,259.01,259.24,105.61,921.74,3.79,307.36,696.47,2612
2022/06/27 12:16:58.603,MyPreprocess,input,preprocess,19,6331,195.11,195.37,299.65,921.74,3.73,307.36,697.17,2613
2022/06/27 12:16:59.817,MyPreprocess,input,preprocess,22,6332,112.13,112.41,1773.37,921.74,4.43,307.36,241.29,2614
2022/06/27 12:17:00.067,MyPreprocess,input,preprocess,24,6333,83.74,84.24,111.19,921.74,4.37,307.36,371.57,2615
2022/06/27 12:17:00.307,MyPreprocess,input,preprocess,25,6334,78.43,78.87,57.81,921.74,4.74,307.36,551.62,2616
2022/06/27 12:17:00.545,MyPreprocess,input,preprocess,28,6335,59.58,60.52,125.82,921.74,4.4,307.36,658.39,2617
2022/06/27 12:17:00.785,MyPreprocess,input,preprocess,30,6337,101.23,102.16,60.74,921.74,6.2,307.36,685.48,2618
2022/06/27 12:17:01.023,MyPreprocess,input,preprocess,33,6340,197.58,197.66,46.21,921.74,3.75,307.36,693.28,2619
2022/06/27 12:17:01.265,MyPreprocess,input,preprocess,35,6341,264.77,264.85,178.78,921.74,4.73,307.36,693.74,2620
2022/06/27 12:17:01.509,MyPreprocess,input,preprocess,40,6343,263.0,263.85,94.4,921.74,3.77,307.36,701.08,2621
2022/06/27 12:17:01.748,MyPreprocess,input,preprocess,44,6344,150.59,151.41,245.58,921.74,4.03,307.36,699.43,2622
